Tiempo (s),Distancia 1 (mm),Distancia 2 (mm)
13.64,-15.27,40.14
13.68,-12.76,36.25
13.72,1.05,33.65
13.76,8.59,27.16
13.80,7.33,18.06
13.84,7.33,7.68
13.88,7.33,-7.91
13.92,7.33,-6.61
13.96,37.48,-28.69
14.00,34.96,-40.38
14.04,34.96,-49.47
14.08,26.17,-54.66
14.12,18.64,-49.47
14.16,11.10,-42.97
14.20,3.57,-36.48
14.24,2.31,-23.49
14.28,3.57,-6.61
14.32,3.57,-6.61
14.36,-34.11,-9.21
14.40,-40.39,-7.91
14.44,-42.90,37.55
14.48,-44.16,37.55
14.52,-40.39,41.44
14.56,-35.37,45.34
14.60,-30.34,41.44
14.64,-17.78,38.84
14.68,-14.02,37.55
14.72,-1.46,34.95
14.76,6.08,27.16
14.80,22.41,23.26
14.84,28.68,23.26
14.88,32.45,23.26
14.92,37.48,-17.00
14.96,37.48,-32.58
15.00,32.45,-40.38
15.04,32.45,-48.17
15.08,24.92,-55.96
15.12,21.15,-50.77
15.16,8.59,-45.57
15.20,3.57,-35.18
15.24,-11.50,-31.29
15.28,-16.53,-31.29
15.32,-29.09,-31.29
15.36,-39.13,-31.29
15.40,-41.65,-31.29
15.44,-42.90,31.05
15.48,-44.16,40.14
15.52,-37.88,42.74
15.56,-37.88,42.74
15.60,-29.09,42.74
15.64,-24.06,40.14
15.68,-10.25,38.84
15.72,3.57,29.75
15.76,3.57,28.45
15.80,4.82,14.17
15.84,3.57,8.97
15.88,4.82,-7.91
15.92,4.82,-22.19
15.96,37.48,-24.79
16.00,37.48,-20.90
16.04,31.20,-22.19
16.08,26.17,-55.96
16.12,21.15,-52.06
16.16,8.59,-45.57
16.20,3.57,-40.38
16.24,-10.25,-27.39
16.28,-17.78,-31.29
16.32,-27.83,-28.69
16.36,-32.85,-31.29
16.40,-40.39,-29.99
16.44,-41.65,28.45
16.48,-45.41,40.14
16.52,-39.13,41.44
16.56,-36.62,34.95
16.60,-27.83,42.74
16.64,-21.55,42.74
16.68,-7.74,40.14
16.72,-0.20,34.95
16.76,12.36,27.16
16.80,18.64,12.87
16.84,29.94,8.97
16.88,32.45,-6.61
16.92,39.99,-6.61
16.96,38.73,-7.91
17.00,36.22,-45.57
17.04,32.45,-50.77
17.08,28.68,-52.06
17.12,19.89,-53.36
17.16,13.61,-45.57
17.20,6.08,-33.88
17.24,-11.50,-22.19
17.28,-19.04,-23.49
17.32,-29.09,-22.19
17.36,-34.11,-22.19
17.40,-40.39,-23.49
17.44,-44.16,-24.79
17.48,-44.16,40.14
17.52,-40.39,41.44
17.56,-34.11,41.44
17.60,-31.60,40.14
17.64,-22.81,41.44
17.68,-6.48,36.25
17.72,-2.71,33.65
17.76,9.85,28.45
17.80,19.89,18.06
17.84,28.68,5.08
17.88,32.45,-6.61
17.92,37.48,-23.49
17.96,37.48,-32.58
18.00,36.22,-42.97
18.04,31.20,-50.77
18.08,27.43,-54.66
18.12,16.13,-46.87
18.16,13.61,-46.87
18.20,-0.20,-31.29
18.24,-7.74,-23.49
18.28,-21.55,-13.10
18.32,-25.32,-13.10
18.36,-32.85,-13.10
18.40,-37.88,-13.10
18.44,-42.90,41.44
18.48,-41.65,40.14
18.52,-39.13,41.44
18.56,-35.37,46.64
18.60,-30.34,44.04
18.64,-20.30,40.14
18.68,-11.50,41.44
18.72,1.05,33.65
18.76,9.85,24.56
18.80,24.92,15.47
18.84,37.48,2.48
18.88,33.71,-5.31
18.92,37.48,-17.00
18.96,41.24,-37.78
19.00,34.96,-44.27
19.04,33.71,-46.87
19.08,26.17,-54.66
19.12,24.92,-49.47
19.16,11.10,-49.47
19.20,-0.20,-33.88
19.24,-7.74,-35.18
19.28,-20.30,-35.18
19.32,-27.83,-33.88
19.36,-35.37,-35.18
19.40,-39.13,-33.88
19.44,-42.90,27.16
19.48,-41.65,40.14
19.52,-39.13,40.14
19.56,-37.88,42.74
19.60,-31.60,44.04
19.64,-25.32,42.74
19.68,-11.50,37.55
19.72,-3.97,34.95
19.76,-5.22,25.86
19.80,-5.22,19.36
19.84,-5.22,18.06
19.88,-3.97,19.36
19.92,38.73,19.36
19.96,38.73,19.36
20.00,32.45,18.06
20.04,32.45,-50.77
20.08,24.92,-53.36
20.12,21.15,-49.47
20.16,3.57,-50.77
20.20,7.33,-36.48
20.24,-10.25,-28.69
20.28,-17.78,-9.21
20.32,-29.09,-7.91
20.36,-32.85,-9.21
20.40,-39.13,-7.91
20.44,-42.90,-9.21
20.48,-41.65,41.44
20.52,-40.39,40.14
20.56,-39.13,44.04
20.60,-30.34,44.04
20.64,-22.81,45.34
20.68,-7.74,38.84
20.72,-1.46,32.35
20.76,14.87,27.16
