Tiempo (s),Distancia 1 (mm),Distancia 2 (mm)
26.29,36.06,-48.96
26.42,28.52,-35.97
26.54,4.66,-2.21
26.67,-35.53,27.66
26.79,-45.58,35.45
26.92,-22.97,25.07
27.04,5.92,17.27
27.17,29.78,15.97
27.29,38.57,-48.96
27.42,20.99,-25.58
27.54,-10.41,2.99
27.67,-39.30,31.56
27.79,-40.55,36.75
27.92,-16.69,21.17
28.04,12.19,13.38
28.17,34.80,431.56
28.29,37.31,-46.36
28.42,20.99,-16.49
28.54,-16.69,14.68
28.67,-44.32,39.35
28.79,-33.02,35.45
28.92,-6.64,13.38
29.04,18.47,-15.19
29.17,39.82,-37.27
29.29,33.55,-42.47
29.42,13.45,-7.40
29.54,-26.74,22.47
29.67,-48.09,39.35
29.79,-29.25,30.26
29.92,-0.36,17.27
30.04,24.75,430.26
30.17,37.31,430.26
30.29,32.29,-35.97
30.42,4.66,-4.80
30.54,-34.27,27.66
30.67,-45.58,35.45
30.79,-24.23,27.66
30.92,7.17,-2.21
31.04,24.75,-35.97
31.17,37.31,-48.96
31.29,27.27,-30.78
31.42,-6.64,2.99
31.54,-43.07,31.56
31.67,-40.55,36.75
31.79,-17.95,19.87
31.92,8.43,-4.80
32.04,31.03,-3.51
32.17,36.06,-46.36
32.29,20.99,-22.99
32.42,-16.69,8.18
32.54,-43.07,36.75
32.67,-35.53,32.86
32.79,-15.44,15.97
32.92,14.71,-2.21
33.04,33.55,-2.21
33.17,33.55,-41.17
33.29,13.45,-7.40
33.42,-25.48,15.97
33.54,-46.83,38.05
33.67,-35.53,30.26
33.79,-4.13,10.78
33.92,18.47,-12.60
34.04,37.31,-11.30
34.17,31.03,-37.27
34.29,4.66,-2.21
34.42,-38.04,26.36
34.54,-45.58,38.05
34.67,-30.51,30.26
34.79,0.89,17.27
34.92,24.75,428.96
35.04,38.57,431.56
35.17,24.75,-32.08
35.29,-6.64,2.99
35.42,-35.53,30.26
35.54,-45.58,38.05
35.67,-24.23,21.17
35.79,9.68,18.57
35.92,29.78,430.26
36.04,37.31,-47.66
36.17,20.99,-28.18
36.29,-14.18,5.58
36.42,-40.55,31.56
36.54,-41.81,32.86
36.67,-14.18,18.57
36.79,14.71,21.17
36.92,33.55,18.57
37.04,34.80,-42.47
37.17,14.71,-11.30
37.29,-16.69,17.27
37.42,-44.32,34.16
37.54,-35.53,35.45
37.67,-6.64,34.16
37.79,19.73,34.16
37.92,37.31,428.96
38.04,33.55,430.26
38.17,13.45,426.36
38.29,-26.74,428.96
38.42,-46.83,427.66
38.54,-29.25,431.56
38.67,-1.62,427.66
38.79,26.01,428.96
38.92,38.57,428.96
39.04,31.03,-32.08
39.17,2.15,-4.80
39.29,-15.44,30.26
39.42,-45.58,35.45
39.54,-21.71,23.77
39.67,5.92,17.27
39.79,29.78,430.26
39.92,36.06,426.36
40.04,28.52,431.56
40.17,-7.90,428.96
40.29,-43.07,430.26
40.42,-41.81,34.16
40.54,-12.92,21.17
40.67,12.19,8.18
40.79,33.55,6.88
40.92,36.06,-47.66
41.04,22.24,-12.60
41.17,-19.20,-6.10
41.29,-45.58,428.96
41.42,-35.53,428.96
41.54,-7.90,430.26
41.67,18.47,426.36
41.79,36.06,428.96
41.92,34.80,-39.87
42.04,12.19,-34.67
42.17,-25.48,22.47
42.29,-46.83,40.65
42.42,-31.76,28.96
42.54,-1.62,19.87
42.67,20.99,427.66
42.79,38.57,430.26
42.92,29.78,428.96
43.04,2.15,428.96
43.17,-34.27,428.96
43.29,-45.58,430.26
43.42,-24.23,426.36
43.54,9.68,428.96
43.67,24.75,430.26
43.79,37.31,428.96
43.92,27.27,427.66
44.04,-6.64,1.69
44.17,-41.81,27.66
44.29,-41.81,32.86
44.42,-16.69,22.47
44.54,9.68,18.57
44.67,31.03,428.96
44.79,38.57,428.96
44.92,20.99,428.96
45.04,-19.20,430.26
45.17,-43.07,427.66
45.29,-35.53,430.26
45.42,-16.69,430.26
45.54,13.45,430.26
45.67,34.80,428.96
45.79,34.80,-39.87
45.92,10.94,-7.40
46.04,-22.97,17.27
46.17,-46.83,38.05
46.29,-34.27,31.56
46.42,-9.16,17.27
46.54,20.99,19.87
46.67,37.31,-47.66
46.79,31.03,-37.27
46.92,3.40,-2.21
47.04,-33.02,25.07
47.17,-43.07,38.05
47.29,-29.25,26.36
47.42,0.89,17.27
47.54,28.52,430.26
47.67,36.06,-50.26
47.79,28.52,-35.97
47.92,-5.39,0.39
48.04,-40.55,30.26
48.17,-45.58,32.86
48.29,-21.71,23.77
48.42,5.92,14.68
48.54,31.03,14.68
48.67,37.31,-48.96
48.79,22.24,-19.09
48.92,-17.95,10.78
49.04,-43.07,32.86
49.17,-40.55,35.45
49.29,-15.44,21.17
49.42,13.45,14.68
49.54,34.80,-39.87
49.67,34.80,-43.77
49.79,13.45,-12.60
49.92,-20.46,15.97
50.04,-45.58,38.05
50.17,-35.53,32.86
50.29,-7.90,14.68
50.42,19.73,14.68
50.54,37.31,-43.77
50.67,33.55,-39.87
50.79,5.92,-6.10
50.92,-27.99,21.17
51.04,-46.83,39.35
51.17,-31.76,28.96
51.29,0.89,19.87
51.42,26.01,21.17
51.54,36.06,-42.47
51.67,28.52,-37.27
51.79,3.40,-0.91
51.92,-34.27,27.66
52.04,-45.58,35.45
52.17,-21.71,23.77
52.29,7.17,17.27
52.42,29.78,15.97
52.54,37.31,-48.96
52.67,28.52,-30.78
52.79,-6.64,4.29
52.92,-43.07,31.56
53.04,-41.81,36.75
53.17,-15.44,21.17
53.29,14.71,430.26
53.42,33.55,427.66
53.54,38.57,-45.06
53.67,22.24,-15.19
53.79,-17.95,12.08
53.92,-43.07,34.16
54.04,-34.27,35.45
54.17,-11.67,17.27
54.29,19.73,12.08
54.42,37.31,428.96
54.54,34.80,-41.17
54.67,10.94,-10.00
54.79,-25.48,18.57
54.92,-45.58,36.75
