Tiempo (s),Distancia 1 (mm),Distancia 2 (mm)
10.28,6.34,-19.42
10.32,13.88,-16.82
10.36,17.65,-9.03
10.40,25.18,0.06
10.44,27.69,6.56
10.48,32.72,14.35
10.52,33.97,18.25
10.56,36.48,28.64
10.60,39.00,32.53
10.64,37.74,35.13
10.68,36.48,39.03
10.72,36.48,40.32
10.76,31.46,36.43
10.80,26.44,35.13
10.84,22.67,33.83
10.88,15.13,29.93
10.92,7.60,24.74
10.96,2.57,22.14
11.00,-7.47,16.95
11.04,-11.24,10.45
11.08,-18.78,2.66
11.12,-25.06,-6.43
11.16,-30.08,-10.32
11.20,-36.36,-18.12
11.24,-36.36,-22.01
11.28,-38.87,-27.21
11.32,-38.87,-32.40
11.36,-36.36,-33.70
11.40,-31.33,-37.60
11.44,-27.57,-37.60
11.48,-18.78,-38.90
11.52,-16.26,-35.00
11.56,-4.96,-31.10
11.60,3.83,-25.91
11.64,10.11,-18.12
11.68,16.39,-11.62
11.72,21.41,-3.83
11.76,27.69,2.66
11.80,33.97,10.45
11.84,33.97,23.44
11.88,36.48,24.74
11.92,36.48,31.23
11.96,36.48,32.53
12.00,35.23,35.13
12.04,33.97,37.73
12.08,32.72,37.73
12.12,30.20,35.13
12.16,23.93,32.53
12.20,17.65,31.23
12.24,12.62,28.64
12.28,3.83,24.74
12.32,-1.19,18.25
12.36,-11.24,10.45
12.40,-18.78,5.26
12.44,-23.80,-1.23
12.48,-28.82,-7.73
12.52,-31.33,-14.22
12.56,-35.10,-22.01
12.60,-38.87,-23.31
12.64,-38.87,-29.81
12.68,-37.61,-29.81
12.72,-36.36,-36.30
12.76,-28.82,-37.60
12.80,-22.54,-40.19
12.84,-17.52,-37.60
12.88,-7.47,-33.70
12.92,-1.19,-28.51
12.96,8.85,-22.01
13.00,16.39,-16.82
13.04,20.16,-9.03
13.08,26.44,2.66
13.12,28.95,5.26
13.16,33.97,14.35
13.20,32.72,20.84
13.24,37.74,28.64
13.28,37.74,33.83
13.32,39.00,35.13
13.36,36.48,40.32
13.40,35.23,37.73
13.44,32.72,37.73
13.48,25.18,35.13
13.52,21.41,32.53
13.56,12.62,29.93
13.60,7.60,24.74
13.64,-1.19,19.55
13.68,-9.98,13.05
13.72,-13.75,9.16
13.76,-21.29,2.66
13.80,-23.80,-7.73
13.84,-30.08,-10.32
13.88,-35.10,-18.12
13.92,-36.36,-23.31
13.96,-38.87,-27.21
14.00,-38.87,-33.70
14.04,-36.36,-36.30
14.08,-31.33,-37.60
14.12,-26.31,-37.60
14.16,-17.52,-37.60
14.20,-13.75,-31.10
14.24,0.06,-29.81
14.28,6.34,-22.01
14.32,10.11,-19.42
14.36,17.65,-10.32
14.40,21.41,-2.53
14.44,28.95,0.06
14.48,32.72,11.75
14.52,33.97,22.14
14.56,37.74,26.04
14.60,36.48,32.53
14.64,37.74,33.83
14.68,35.23,39.03
14.72,35.23,39.03
14.76,31.46,37.73
14.80,27.69,35.13
14.84,22.67,33.83
14.88,13.88,31.23
14.92,11.37,26.04
14.96,2.57,23.44
15.00,-3.70,16.95
15.04,-12.50,11.75
15.08,-21.29,3.96
15.12,-25.06,-3.83
15.16,-30.08,-7.73
15.20,-32.59,-18.12
15.24,-36.36,-20.71
15.28,-35.10,-25.91
15.32,-38.87,-31.10
15.36,-37.61,-33.70
15.40,-35.10,-36.30
15.44,-27.57,-37.60
15.48,-20.03,-38.90
15.52,-15.01,-36.30
15.56,-3.70,-31.10
15.60,1.32,-28.51
15.64,10.11,-18.12
15.68,13.88,-15.52
15.72,20.16,-5.13
15.76,28.95,-1.23
15.80,30.20,9.16
15.84,33.97,18.25
15.88,30.20,22.14
15.92,36.48,29.93
15.96,37.74,33.83
16.00,36.48,36.43
16.04,35.23,37.73
16.08,32.72,37.73
16.12,28.95,36.43
16.16,25.18,33.83
16.20,20.16,32.53
16.24,12.62,27.34
16.28,6.34,24.74
16.32,-2.45,18.25
16.36,-12.50,10.45
16.40,-16.26,9.16
16.44,-21.29,-2.53
16.48,-26.31,-5.13
16.52,-30.08,-14.22
16.56,-35.10,-18.12
16.60,-36.36,-24.61
16.64,-38.87,-28.51
16.68,-40.13,-29.81
16.72,-35.10,-36.30
16.76,-30.08,-38.90
16.80,-26.31,-40.19
16.84,-16.26,-36.30
16.88,-11.24,-29.81
16.92,0.06,-27.21
16.96,8.85,-20.71
17.00,12.62,-18.12
17.04,20.16,-9.03
17.08,23.93,0.06
17.12,28.95,1.36
17.16,31.46,15.65
17.20,35.23,18.25
17.24,37.74,27.34
17.28,37.74,32.53
17.32,37.74,36.43
17.36,36.48,39.03
17.40,32.72,39.03
17.44,30.20,37.73
17.48,27.69,35.13
17.52,20.16,33.83
17.56,12.62,28.64
17.60,7.60,23.44
17.64,0.06,20.84
17.68,-6.22,13.05
17.72,-13.75,16.95
17.76,-17.52,2.66
17.80,-25.06,-6.43
17.84,-30.08,-10.32
17.88,-33.85,-16.82
17.92,-37.61,-20.71
17.96,-38.87,-28.51
18.00,-40.13,-32.40
18.04,-35.10,-35.00
18.08,-32.59,-35.00
18.12,-25.06,-38.90
18.16,-21.29,-37.60
18.20,-12.50,-33.70
18.24,-2.45,-29.81
18.28,1.32,-25.91
18.32,11.37,-19.42
18.36,15.13,-12.92
18.40,23.93,-5.13
18.44,30.20,1.36
18.48,31.46,11.75
18.52,35.23,20.84
18.56,36.48,26.04
18.60,36.48,32.53
18.64,37.74,33.83
18.68,36.48,36.43
18.72,33.97,37.73
18.76,32.72,37.73
18.80,28.95,35.13
18.84,21.41,35.13
18.88,20.16,31.23
18.92,10.11,27.34
18.96,6.34,23.44
19.00,-6.22,15.65
19.04,-13.75,13.05
19.08,-17.52,2.66
19.12,-23.80,-3.83
19.16,-27.57,-7.73
19.20,-32.59,-15.52
19.24,-36.36,-22.01
19.28,-37.61,-25.91
19.32,-38.87,-28.51
19.36,-37.61,-31.10
19.40,-33.85,-36.30
19.44,-28.82,-37.60
19.48,-23.80,-38.90
19.52,-16.26,-35.00
19.56,-7.47,-33.70
19.60,0.06,-25.91
19.64,12.62,-19.42
19.68,15.13,-18.12
19.72,22.67,-5.13
19.76,25.18,-2.53
19.80,30.20,7.86
19.84,35.23,16.95
19.88,33.97,20.84
19.92,37.74,27.34
19.96,36.48,33.83
20.00,36.48,35.13
20.04,36.48,37.73
20.08,32.72,37.73
20.12,30.20,36.43
20.16,27.69,36.43
20.20,17.65,32.53
20.24,16.39,28.64
20.28,5.09,26.04
20.32,-2.45,18.25
20.36,-7.47,13.05
20.40,-15.01,6.56
20.44,-18.78,0.06
20.48,-26.31,-6.43
20.52,-30.08,-11.62
20.56,-32.59,-18.12
20.60,-37.61,-22.01
20.64,-37.61,-28.51
20.68,-40.13,-35.00
20.72,-36.36,-35.00
20.76,-31.33,-36.30
20.80,-25.06,-38.90
20.84,-21.29,-37.60
20.88,-11.24,-33.70
20.92,0.06,-29.81
20.96,3.83,-23.31
21.00,12.62,-20.71
