Tiempo (s),Distancia 1 (mm),Distancia 2 (mm)
23.92,22.93,-26.74
24.04,20.42,-20.25
24.17,16.65,-11.16
24.29,9.12,1.83
24.42,-0.93,5.73
24.54,-10.98,16.12
24.67,-19.77,20.01
24.79,-22.28,21.31
24.92,-21.02,17.42
25.04,-18.51,14.82
25.17,-9.72,8.32
25.29,0.33,1.83
25.42,9.12,-8.56
25.54,15.40,-15.05
25.67,17.91,-24.14
25.79,24.19,-26.74
25.92,21.68,-26.74
26.04,21.68,-21.55
26.17,16.65,-11.16
26.29,7.86,-0.77
26.42,0.33,7.03
26.54,-12.23,14.82
26.67,-19.77,18.71
26.79,-21.02,22.61
26.92,-22.28,18.71
27.04,-16.00,14.82
27.17,-9.72,8.32
27.29,0.33,-0.77
27.42,4.09,-8.56
27.54,14.14,-16.35
27.67,19.16,-24.14
27.79,21.68,-26.74
27.92,21.68,-28.04
28.04,22.93,-18.95
28.17,16.65,-11.16
28.29,10.37,-0.77
28.42,-0.93,9.62
28.54,-9.72,14.82
28.67,-18.51,18.71
28.79,-22.28,21.31
28.92,-21.02,20.01
29.04,-17.26,14.82
29.17,-12.23,8.32
29.29,1.58,0.53
29.42,7.86,-5.96
29.54,15.40,-16.35
29.67,19.16,-21.55
29.79,20.42,-26.74
29.92,22.93,-28.04
30.04,21.68,-20.25
30.17,16.65,-12.45
30.29,11.63,-0.77
30.42,-0.93,5.73
30.54,-8.46,13.52
30.67,-19.77,20.01
30.79,-23.54,20.01
30.92,-21.02,20.01
31.04,-18.51,16.12
31.17,-10.98,7.03
31.29,-2.19,1.83
31.42,6.61,-8.56
31.54,15.40,-15.05
31.67,17.91,-22.84
31.79,22.93,-28.04
31.92,22.93,-28.04
32.04,20.42,-24.14
32.17,17.91,-12.45
32.29,10.37,-2.07
32.42,0.33,4.43
32.54,-9.72,13.52
32.67,-21.02,14.82
32.79,-22.28,21.31
32.92,-22.28,20.01
33.04,-18.51,14.82
33.17,-10.98,8.32
33.29,-2.19,3.13
33.42,6.61,-7.26
33.54,14.14,-13.75
33.67,17.91,-24.14
33.79,24.19,-25.44
33.92,21.68,-28.04
34.04,22.93,-21.55
34.17,16.65,-12.45
34.29,11.63,-2.07
34.42,1.58,7.03
34.54,-9.72,13.52
34.67,-18.51,17.42
34.79,-21.02,22.61
34.92,-22.28,18.71
35.04,-16.00,16.12
35.17,-12.23,8.32
35.29,-3.44,0.53
35.42,6.61,-4.66
35.54,12.89,-12.45
35.67,17.91,-21.55
35.79,21.68,-25.44
35.92,21.68,-29.34
36.04,22.93,-21.55
36.17,17.91,-13.75
36.29,12.89,-3.36
36.42,0.33,5.73
36.54,-8.46,10.92
36.67,-17.26,18.71
36.79,-23.54,21.31
36.92,-22.28,18.71
37.04,-17.26,17.42
37.17,-14.74,8.32
37.29,-3.44,1.83
37.42,5.35,-5.96
37.54,14.14,-15.05
37.67,17.91,-21.55
37.79,21.68,-26.74
37.92,22.93,-28.04
38.04,21.68,-21.55
38.17,16.65,-15.05
38.29,12.89,-2.07
38.42,0.33,5.73
38.54,-7.21,12.22
38.67,-17.26,20.01
38.79,-22.28,20.01
38.92,-22.28,20.01
39.04,-18.51,17.42
39.17,-14.74,9.62
39.29,-3.44,1.83
39.42,5.35,-5.96
39.54,14.14,-13.75
39.67,17.91,-20.25
39.79,21.68,-28.04
39.92,24.19,-28.04
40.04,21.68,-22.84
40.17,17.91,-15.05
40.29,12.89,-3.36
40.42,0.33,3.13
40.54,-7.21,10.92
40.67,-18.51,17.42
40.79,-22.28,20.01
40.92,-22.28,21.31
41.04,-18.51,17.42
41.17,-13.49,8.32
41.29,-3.44,1.83
41.42,4.09,-5.96
41.54,14.14,-13.75
41.67,17.91,-21.55
41.79,21.68,-26.74
41.92,22.93,-26.74
42.04,21.68,-22.84
42.17,17.91,-15.05
42.29,12.89,0.53
42.42,1.58,3.13
42.54,-5.95,10.92
42.67,-17.26,16.12
42.79,-21.02,20.01
42.92,-22.28,20.01
43.04,-18.51,17.42
43.17,-16.00,10.92
43.29,-4.70,3.13
43.42,5.35,-5.96
43.54,14.14,-12.45
43.67,16.65,-21.55
43.79,22.93,-26.74
43.92,22.93,-28.04
44.04,21.68,-24.14
44.17,19.16,-15.05
44.29,12.89,-3.36
44.42,2.84,3.13
44.54,-5.95,13.52
44.67,-17.26,16.12
44.79,-21.02,21.31
44.92,-23.54,21.31
45.04,-18.51,17.42
45.17,-8.46,10.92
45.29,-4.70,3.13
45.42,4.09,-5.96
45.54,14.14,-12.45
45.67,16.65,-21.55
45.79,22.93,-28.04
45.92,22.93,-28.04
46.04,21.68,-24.14
46.17,19.16,-16.35
46.29,12.89,-4.66
46.42,4.09,3.13
46.54,-5.95,12.22
46.67,-17.26,14.82
46.79,-21.02,21.31
46.92,-22.28,22.61
47.04,-18.51,17.42
47.17,-16.00,12.22
47.29,-5.95,5.73
47.42,4.09,-4.66
47.54,14.14,-11.16
47.67,16.65,-18.95
47.79,21.68,-25.44
47.92,22.93,-26.74
48.04,22.93,-24.14
48.17,19.16,-16.35
48.29,14.14,-4.66
48.42,4.09,3.13
48.54,-4.70,13.52
48.67,-17.26,16.12
48.79,-21.02,21.31
48.92,-23.54,21.31
49.04,-19.77,17.42
49.17,-16.00,10.92
49.29,-5.95,4.43
49.42,4.09,-3.36
49.54,14.14,-9.86
49.67,15.40,-18.95
49.79,22.93,-25.44
49.92,24.19,-28.04
50.04,22.93,-24.14
50.17,21.68,-16.35
50.29,14.14,-5.96
50.42,5.35,1.83
50.54,-4.70,12.22
50.67,-16.00,14.82
50.79,-19.77,22.61
50.92,-23.54,22.61
51.04,-17.26,17.42
51.17,-14.74,12.22
51.29,-7.21,4.43
51.42,4.09,-4.66
51.54,12.89,-11.16
51.67,16.65,-20.25
51.79,22.93,-25.44
51.92,22.93,-28.04
52.04,22.93,-25.44
52.17,20.42,-15.05
52.29,12.89,-5.96
52.42,6.61,4.43
52.54,-4.70,10.92
52.67,-14.74,16.12
52.79,-19.77,22.61
52.92,-23.54,21.31
53.04,-17.26,18.71
53.17,-16.00,13.52
53.29,-8.46,5.73
53.42,4.09,-2.07
53.54,11.63,-11.16
53.67,17.91,-18.95
53.79,21.68,-22.84
53.92,22.93,-26.74
54.04,24.19,-25.44
54.17,19.16,-15.05
54.29,15.40,-7.26
54.42,6.61,3.13
54.54,-4.70,9.62
54.67,-13.49,14.82
54.79,-19.77,21.31
54.92,-22.28,20.01
