Tiempo (s),Distancia 1 (mm),Distancia 2 (mm)
31.29,-7.11,20.94
31.42,6.74,18.17
31.54,12.27,18.17
31.67,10.89,-12.34
31.79,10.89,-26.21
31.92,8.12,-34.53
32.04,-0.19,-30.37
32.17,-15.42,-16.50
32.29,-30.65,-1.25
32.42,-40.34,15.39
32.54,-40.34,26.49
32.67,-36.19,27.87
32.79,-23.73,26.49
32.92,-2.96,20.94
33.04,9.50,14.01
33.17,13.66,1.53
33.29,12.27,-13.73
33.42,12.27,-28.98
33.54,9.50,-31.76
33.67,-1.57,-24.82
33.79,-16.80,-15.12
33.92,-33.42,1.53
34.04,-41.73,19.55
34.17,-41.73,26.49
34.29,-33.42,26.49
34.42,-16.80,23.71
34.54,-0.19,19.55
34.67,8.12,8.46
34.79,10.89,-5.41
34.92,10.89,-20.66
35.04,10.89,-31.76
35.17,6.74,-33.14
35.29,-4.34,-23.44
35.42,-20.96,-12.34
35.54,-33.42,4.30
35.67,-41.73,19.55
35.79,-38.96,27.87
35.92,-30.65,26.49
36.04,-14.03,25.10
36.17,2.58,20.94
36.29,10.89,11.23
36.42,13.66,-2.63
36.54,12.27,-20.66
36.67,12.27,-28.98
36.79,3.97,-33.14
36.92,-4.34,-22.05
37.04,-20.96,-8.18
37.17,-34.81,8.46
37.29,-41.73,22.33
37.42,-40.34,27.87
37.54,-29.27,25.10
37.67,-12.65,22.33
37.79,2.58,15.39
37.92,10.89,8.46
38.04,12.27,-9.57
38.17,10.89,-23.44
38.29,8.12,-33.14
38.42,2.58,-31.76
38.54,-11.27,-17.89
38.67,-27.88,-5.41
38.79,-38.96,11.23
38.92,-43.11,23.71
39.04,-40.34,27.87
39.17,-26.50,26.49
39.29,-7.11,22.33
39.42,5.35,15.39
39.54,13.66,5.69
39.67,13.66,-12.34
39.79,12.27,-26.21
39.92,9.50,-34.53
40.04,2.58,-30.37
40.17,-12.65,-17.89
40.29,-29.27,1.53
40.42,-38.96,14.01
40.54,-41.73,25.10
40.67,-37.57,26.49
40.79,-22.34,25.10
40.92,-4.34,20.94
41.04,8.12,15.39
41.17,10.89,0.14
41.29,12.27,-15.12
41.42,10.89,-27.60
41.54,8.12,-34.53
41.67,-1.57,-28.98
41.79,-15.42,-13.73
41.92,-32.04,1.53
42.04,-40.34,16.78
42.17,-43.11,25.10
42.29,-34.81,26.49
42.42,-19.57,25.10
42.54,-1.57,20.94
42.67,9.50,12.62
42.79,15.04,2.91
42.92,13.66,-12.34
43.04,12.27,-28.98
43.17,6.74,-34.53
43.29,-2.96,-23.44
43.42,-15.42,-9.57
43.54,-30.65,7.07
43.67,-38.96,22.33
43.79,-40.34,27.87
43.92,-32.04,27.87
44.04,-15.42,25.10
44.17,1.20,20.94
44.29,10.89,12.62
44.42,13.66,11.23
44.54,12.27,-22.05
44.67,10.89,-33.14
44.79,5.35,-33.14
44.92,-7.11,-23.44
45.04,-23.73,-12.34
45.17,-36.19,5.69
45.29,-41.73,20.94
45.42,-40.34,26.49
45.54,-30.65,23.71
45.67,-12.65,23.71
45.79,1.20,18.17
45.92,10.89,8.46
46.04,12.27,-6.80
46.17,12.27,-22.05
46.29,9.50,-33.14
46.42,5.35,-31.76
46.54,-7.11,-20.66
46.67,-22.34,-4.02
46.79,-36.19,12.62
46.92,-40.34,23.71
47.04,-37.57,27.87
47.17,-26.50,27.87
47.29,-4.34,25.10
47.42,6.74,18.17
47.54,12.27,11.23
47.67,19.20,-10.96
47.79,13.66,-24.82
47.92,10.89,-33.14
48.04,3.97,-28.98
48.17,-9.88,-19.28
48.29,-26.50,-1.25
48.42,-38.96,14.01
48.54,-41.73,23.71
48.67,-38.96,26.49
48.79,-25.11,25.10
48.92,-5.73,19.55
49.04,6.74,14.01
49.17,12.27,1.53
49.29,12.27,-15.12
49.42,12.27,-26.21
49.54,9.50,-33.14
49.67,-1.57,-28.98
49.79,-14.03,-19.28
49.92,-29.27,-1.25
50.04,-38.96,15.39
50.17,-40.34,25.10
50.29,-37.57,27.87
50.42,-22.34,27.87
50.54,-1.57,23.71
50.67,8.12,15.39
50.79,13.66,2.91
50.92,13.66,-12.34
51.04,13.66,-27.60
51.17,8.12,-31.76
51.29,-1.57,-23.44
51.42,-14.03,-12.34
51.54,-32.04,2.91
51.67,-38.96,20.94
51.79,-40.34,20.94
51.92,-33.42,27.87
52.04,-15.42,25.10
52.17,1.20,20.94
52.29,8.12,11.23
52.42,12.27,-2.63
52.54,12.27,-19.28
52.67,10.89,-31.76
52.79,6.74,-34.53
52.92,-4.34,-30.37
53.04,-19.57,-10.96
53.17,-34.81,7.07
53.29,-41.73,20.94
53.42,-40.34,26.49
53.54,-32.04,26.49
