Time (s),Accel_x (m2/s),Accel_y (m2/s),Accel_z (m2/s),RPM,Humidity (percentage),Amb_Temp (C),Water_Temp (C),Motor_Temp (C),Height 1 (mm),Height 2 (mm)
171.44,0.41,2.76,9.03,29.76,95.0,23.2,17.97,35.89,30.46,-49.61
171.48,0.46,2.50,9.00,29.76,95.0,23.2,18.21,35.89,22.93,-44.41
171.52,0.38,2.53,8.99,29.76,95.0,23.2,18.21,35.89,21.67,-37.92
171.56,0.41,2.30,9.01,29.76,95.0,23.2,18.45,35.65,19.16,-35.32
171.60,0.45,1.72,9.02,29.76,95.0,23.2,17.73,35.89,15.39,-27.53
171.64,0.40,1.56,9.04,29.76,95.0,23.2,18.09,35.65,12.88,-22.33
171.68,0.47,1.02,9.11,29.76,95.0,23.2,17.97,35.89,9.11,-21.04
171.72,0.48,0.92,9.08,29.76,95.0,23.2,17.97,35.40,6.60,-13.24
171.76,0.44,0.92,9.09,29.76,95.0,23.2,18.21,35.89,2.83,-10.65
171.80,0.49,0.17,9.20,29.76,95.0,23.2,18.09,35.89,-2.19,-4.15
171.84,0.53,-0.01,9.17,29.76,95.0,23.2,18.09,35.65,-7.22,2.34
171.88,0.48,0.08,9.22,29.76,95.0,23.2,18.09,35.89,-14.75,7.54
171.92,0.51,-0.79,9.30,29.76,95.0,23.2,18.09,36.14,-19.77,12.73
171.96,0.56,-0.21,9.22,29.76,95.0,23.2,18.68,35.65,-26.05,17.92
172.00,0.50,-0.88,9.34,29.76,95.0,23.2,18.21,35.89,-31.08,23.12
172.04,0.61,-0.76,9.28,29.76,95.0,23.2,18.09,35.89,-38.61,27.02
172.08,0.51,-0.35,9.27,29.76,95.0,23.2,18.21,35.89,-43.64,30.91
172.12,0.52,-0.87,9.34,29.76,95.0,23.2,17.97,35.65,-46.15,30.91
172.16,0.55,-0.64,9.34,29.76,95.0,23.2,17.97,35.89,-47.40,32.21
172.20,0.47,-0.66,9.33,29.76,95.0,23.2,18.45,35.65,-48.66,34.81
172.24,0.59,-0.59,9.36,29.76,95.0,23.2,18.09,35.89,-51.17,33.51
172.28,0.49,-0.10,9.27,29.76,95.0,23.2,17.97,35.89,-52.43,32.21
172.32,0.43,-0.60,9.29,29.76,95.0,23.2,17.97,35.89,-51.17,29.61
172.36,0.62,-1.08,9.32,29.76,95.0,23.2,18.21,35.65,-49.92,24.42
172.40,0.58,-0.20,9.17,29.76,95.0,23.2,17.73,35.89,-48.66,25.72
172.44,0.49,-0.03,9.26,29.76,95.0,23.2,18.33,35.89,-42.38,21.82
172.48,0.51,-0.04,9.26,29.76,95.0,23.2,18.33,35.89,-33.59,24.42
172.52,0.43,0.05,9.26,29.76,95.0,23.2,18.09,35.40,-29.82,21.82
172.56,0.53,0.35,9.11,29.76,95.0,23.2,18.09,35.89,-22.29,17.92
172.60,0.48,0.41,9.19,29.76,95.0,23.2,18.09,36.14,-18.52,25.72
172.64,0.45,0.66,9.10,29.76,95.0,23.2,17.97,36.14,-12.24,28.31
172.68,0.43,0.93,9.09,29.76,95.0,23.2,18.21,35.65,-7.22,27.02
172.72,0.45,0.96,9.06,29.76,95.0,23.2,18.21,35.89,-3.45,21.82
172.76,0.51,1.31,9.06,29.76,95.0,23.2,18.09,35.89,1.58,17.92
172.80,0.36,1.55,9.06,29.76,95.0,23.2,17.85,35.89,4.09,14.03
172.84,0.43,1.84,8.99,29.76,95.0,23.2,17.85,35.65,9.11,7.54
172.88,0.46,2.28,8.99,29.76,95.0,23.2,18.45,35.89,12.88,3.64
172.92,0.36,2.70,8.92,29.76,95.0,23.2,18.09,36.14,15.39,-6.75
172.96,0.34,2.98,8.95,29.76,95.0,23.2,17.97,35.65,20.41,-10.65
173.00,0.45,3.17,8.92,29.76,95.0,23.2,18.21,35.65,22.93,-19.74
173.04,0.28,3.59,8.95,29.76,95.0,23.2,18.21,35.89,27.95,-30.13
173.08,0.33,3.70,8.92,29.76,95.0,23.2,18.45,35.65,29.21,-32.72
173.12,0.41,3.80,8.90,29.76,95.0,23.2,17.85,35.89,30.46,-41.82
173.16,0.30,4.07,8.95,29.76,95.0,23.2,17.97,35.65,35.49,-43.11
173.20,0.37,3.78,8.92,29.76,95.0,23.2,18.33,35.89,35.49,-49.61
173.24,0.37,3.78,8.90,29.76,95.0,23.2,18.09,36.14,38.00,-52.20
173.28,0.27,3.74,8.94,29.76,95.0,23.2,18.45,35.89,38.00,-52.20
173.32,0.41,3.52,8.96,29.76,95.0,23.2,18.09,36.65,35.49,-54.80
173.36,0.31,3.62,8.96,29.76,95.0,23.2,18.21,35.89,36.74,-56.10
173.40,0.32,3.25,8.93,29.76,95.0,23.2,17.97,35.65,30.46,-54.80
173.44,0.48,2.86,8.94,29.76,95.0,23.2,17.85,35.65,26.69,-50.91
173.48,0.39,2.74,8.99,29.76,95.0,23.2,18.09,35.89,21.67,-47.01
173.52,0.40,2.49,9.01,29.76,95.0,23.2,18.21,35.65,20.41,-39.22
173.56,0.42,2.28,8.96,29.76,95.0,23.2,18.21,35.89,16.65,-32.72
173.60,0.38,2.11,9.01,29.76,95.0,23.2,18.21,35.65,16.65,-31.43
173.64,0.42,1.54,9.04,29.76,95.0,23.2,18.09,35.89,12.88,-22.33
173.68,0.47,1.15,9.03,29.76,95.0,23.2,18.21,35.65,11.62,-21.04
173.72,0.45,1.14,9.12,29.76,95.0,23.2,18.21,35.65,7.86,-19.74
173.76,0.46,0.78,9.08,29.76,95.0,23.2,17.97,35.89,4.09,-11.95
173.80,0.49,0.36,9.17,29.76,95.0,23.2,18.33,35.89,0.32,-9.35
173.84,0.52,0.23,9.17,29.76,95.0,23.2,17.97,35.89,-5.96,-1.56
173.88,0.50,-0.15,9.21,29.76,95.0,23.2,18.33,35.89,-9.73,3.64
173.92,0.52,-0.35,9.30,29.76,95.0,23.2,17.97,35.89,-18.52,10.13
173.96,0.49,-0.09,9.25,29.76,95.0,23.2,18.21,35.65,-27.31,16.63
174.00,0.55,-1.04,9.36,29.76,95.0,23.2,18.33,35.65,-28.57,21.82
174.04,0.56,-0.38,9.25,29.76,95.0,23.2,18.09,35.89,-36.10,28.31
174.08,0.45,-0.84,9.31,29.76,95.0,23.2,17.97,35.65,-39.87,33.51
174.12,0.56,-0.62,9.33,29.76,95.0,23.2,17.85,35.89,-44.89,32.21
174.16,0.52,-0.51,9.32,29.76,95.0,23.2,18.09,35.89,-48.66,32.21
174.20,0.53,-1.20,9.38,29.76,95.0,23.2,18.21,36.14,-49.92,30.91
174.24,0.56,-0.48,9.33,29.76,95.0,23.2,17.85,34.92,-51.17,30.91
174.28,0.44,-0.28,9.29,29.76,95.0,23.2,18.09,35.89,-52.43,29.61
174.32,0.59,-0.02,9.27,29.76,95.0,23.2,18.21,35.89,-48.66,29.61
174.36,0.63,-0.40,9.28,29.76,95.0,23.2,18.33,35.65,-48.66,30.91
174.40,0.57,-0.76,9.31,29.76,95.0,23.2,18.09,36.14,-46.15,32.21
174.44,0.63,-0.13,9.21,29.76,95.0,23.2,17.61,35.65,-41.13,28.31
174.48,0.45,0.08,9.24,29.76,95.0,23.2,18.21,35.89,-39.87,23.12
174.52,0.52,0.28,9.19,29.76,95.0,23.2,17.85,36.14,-33.59,21.82
174.56,0.55,0.09,9.19,29.76,95.0,23.2,17.61,35.89,-24.80,25.72
174.60,0.44,0.25,9.12,29.76,95.0,23.2,17.97,36.14,-19.77,27.02
174.64,0.50,0.59,9.15,29.76,95.0,23.2,17.85,35.89,-14.75,27.02
174.68,0.42,0.93,9.11,29.76,95.0,23.2,18.33,35.89,-9.73,25.72
174.72,0.50,1.09,9.11,29.76,95.0,23.2,17.85,35.65,-4.70,23.12
174.76,0.48,1.19,9.05,29.76,95.0,23.2,17.85,36.14,0.32,16.63
174.80,0.38,1.40,9.05,29.76,95.0,23.2,18.33,35.89,2.83,17.92
174.84,0.51,1.85,8.99,29.76,95.0,23.2,17.61,35.65,7.86,8.83
174.88,0.45,2.04,8.98,29.76,95.0,23.2,18.09,35.65,9.11,3.64
174.92,0.32,2.58,8.97,29.76,95.0,23.2,17.73,35.89,12.88,-4.15
174.96,0.45,2.80,8.95,29.76,95.0,23.2,17.85,35.89,19.16,-11.95
175.00,0.36,3.20,8.94,29.76,95.0,23.2,18.09,35.89,22.93,-18.44
175.04,0.31,3.47,8.94,29.76,95.0,23.2,18.09,35.65,29.21,-24.93
175.08,0.48,3.55,8.89,29.76,95.0,23.2,18.21,35.89,31.72,-28.83
175.12,0.31,3.90,8.94,29.76,95.0,23.2,17.85,35.89,30.46,-36.62
175.16,0.29,3.98,8.97,29.76,95.0,23.2,17.97,35.89,34.23,-43.11
175.20,0.39,3.94,8.90,29.76,95.0,23.2,18.56,36.39,34.23,-44.41
175.24,0.29,3.92,8.90,29.76,95.0,23.2,17.85,35.65,35.49,-49.61
175.28,0.41,3.54,8.91,29.76,95.0,23.2,18.33,35.89,35.49,-49.61
175.32,0.34,3.73,8.91,29.76,95.0,23.2,17.97,35.65,34.23,-52.20
175.36,0.28,3.78,8.92,29.76,95.0,23.2,17.97,35.65,31.72,-54.80
175.40,0.42,3.27,8.93,29.76,95.0,23.2,18.21,35.40,32.97,-54.80
175.44,0.40,3.01,8.94,29.76,95.0,23.2,18.09,36.14,29.21,-52.20
175.48,0.39,2.69,8.98,29.76,95.0,23.2,18.33,35.65,26.69,-50.91
175.52,0.46,2.49,9.00,29.76,95.0,23.2,17.97,35.65,24.18,-43.11
175.56,0.38,2.49,9.01,29.76,95.0,23.2,17.85,35.65,20.41,-37.92
175.60,0.39,2.22,9.00,29.76,95.0,23.2,17.97,35.89,16.65,-35.32
175.64,0.44,1.65,9.02,29.76,95.0,23.2,17.85,35.65,14.13,-27.53
175.68,0.44,1.51,9.01,29.76,95.0,23.2,18.21,35.89,12.88,-24.93
175.72,0.48,1.07,9.10,29.76,95.0,23.2,18.09,35.65,9.11,-19.74
175.76,0.44,0.87,9.11,29.76,95.0,23.2,18.33,35.89,4.09,-14.54
175.80,0.46,0.81,9.11,29.76,95.0,23.2,18.33,36.14,0.32,-9.35
175.84,0.52,0.07,9.20,29.76,95.0,23.2,17.97,35.65,-5.96,-0.26
175.88,0.53,-0.07,9.20,29.76,95.0,23.2,18.21,35.65,-9.73,2.34
175.92,0.50,0.05,9.18,29.76,95.0,23.2,17.97,35.89,-17.26,11.43
175.96,0.52,-0.58,9.26,29.76,95.0,23.2,18.09,35.40,-23.54,19.22
176.00,0.58,-0.44,9.22,29.76,95.0,23.2,18.45,35.65,-27.31,23.12
176.04,0.50,-0.55,9.31,29.76,95.0,23.2,17.73,35.65,-33.59,25.72
176.08,0.56,-1.04,9.36,29.76,95.0,23.2,18.09,34.44,-37.36,28.31
176.12,0.53,-0.29,9.29,29.76,95.0,23.2,18.21,35.89,-42.38,29.61
176.16,0.49,-0.86,9.34,29.76,95.0,23.2,18.33,35.40,-47.40,29.61
176.20,0.59,-0.93,9.35,29.76,95.0,23.2,18.21,35.65,-48.66,28.31
176.24,0.46,-0.43,9.30,29.76,95.0,23.2,18.09,35.89,-51.17,29.61
176.28,0.51,-0.67,9.33,29.76,95.0,23.2,18.21,35.89,-52.43,28.31
176.32,0.57,0.07,9.26,29.76,95.0,23.2,17.73,35.65,-51.17,28.31
176.36,0.40,-0.44,9.29,29.76,95.0,23.2,17.73,35.89,-49.92,28.31
176.40,0.47,-0.02,9.26,29.76,95.0,23.2,18.33,35.40,-47.40,27.02
176.44,0.52,-0.59,9.34,29.76,95.0,23.2,18.45,35.65,-41.13,27.02
176.48,0.41,-0.02,9.25,29.76,95.0,23.2,18.45,35.65,-38.61,27.02
176.52,0.50,0.31,9.20,29.76,95.0,23.2,17.97,35.89,-32.33,27.02
176.56,0.45,0.12,9.22,29.76,95.0,23.2,17.97,35.65,-28.57,28.31
176.60,0.48,0.23,9.21,29.76,95.0,23.2,18.21,35.65,-22.29,28.31
176.64,0.51,0.41,9.11,29.76,95.0,23.2,18.21,35.89,-16.01,27.02
176.68,0.41,0.85,9.16,29.76,95.0,23.2,18.09,35.65,-13.50,25.72
176.72,0.48,1.01,9.12,29.76,95.0,23.2,17.97,36.14,-9.73,23.12
176.76,0.44,1.02,9.16,29.76,95.0,23.2,18.21,35.65,-5.96,19.22
176.80,0.49,1.36,9.04,29.76,95.0,23.2,18.33,35.16,0.32,15.33
176.84,0.43,1.72,9.00,29.76,95.0,23.2,17.97,35.89,7.86,8.83
176.88,0.39,1.92,9.00,29.76,95.0,23.2,18.09,35.65,10.37,3.64
176.92,0.40,2.49,8.94,29.76,95.0,23.2,17.73,35.65,15.39,-0.26
176.96,0.40,2.70,8.97,29.76,95.0,23.2,17.61,35.89,16.65,-10.65
177.00,0.30,3.17,8.93,29.76,95.0,23.2,18.21,35.89,22.93,-15.84
177.04,0.44,3.32,8.92,29.76,95.0,23.2,18.21,35.89,24.18,-24.93
177.08,0.40,3.43,8.93,29.76,95.0,23.2,18.33,36.14,26.69,-34.02
177.12,0.25,3.84,8.94,29.76,95.0,23.2,17.61,36.14,30.46,-35.32
177.16,0.39,3.86,8.91,29.76,95.0,23.2,18.09,36.14,31.72,-40.52
177.20,0.34,3.98,8.95,29.76,95.0,23.2,18.09,35.65,35.49,-43.11
177.24,0.33,3.86,8.91,29.76,95.0,23.2,17.73,35.65,36.74,-47.01
177.28,0.46,3.59,8.95,29.76,95.0,23.2,18.33,35.65,38.00,-48.31
177.32,0.28,3.82,8.98,29.76,95.0,23.2,17.85,36.14,36.74,-49.61
177.36,0.40,3.50,8.98,29.76,95.0,23.2,18.21,35.89,36.74,-52.20
177.40,0.35,3.51,8.90,29.76,95.0,23.2,18.09,35.89,34.23,-54.80
177.44,0.32,3.23,8.94,29.76,95.0,23.2,17.97,35.65,29.21,-54.80
177.48,0.44,2.70,8.96,29.76,95.0,23.2,17.73,35.89,26.69,-53.50
177.52,0.40,2.65,8.97,29.76,95.0,23.2,18.09,35.89,21.67,-50.91
177.56,0.39,2.47,8.97,29.76,95.0,23.2,18.21,35.65,22.93,-43.11
177.60,0.42,2.14,9.01,29.76,95.0,23.2,17.85,35.65,17.90,-39.22
177.64,0.40,2.02,8.99,29.76,95.0,23.2,17.85,35.89,15.39,-28.83
177.68,0.45,1.40,9.05,29.76,95.0,23.2,18.09,35.89,11.62,-22.33
177.72,0.45,1.12,9.03,29.76,95.0,23.2,17.61,35.89,10.37,-19.74
177.76,0.43,1.11,9.11,29.76,95.0,23.2,18.21,35.65,6.60,-11.95
177.80,0.48,0.68,9.14,29.76,95.0,23.2,18.09,35.40,4.09,-9.35
177.84,0.44,0.39,9.16,29.76,95.0,23.2,17.97,35.89,-4.70,-1.56
177.88,0.51,0.17,9.21,29.76,95.0,23.2,18.33,35.65,-7.22,6.24
177.92,0.49,-0.15,9.19,29.76,95.0,23.2,17.85,35.89,-16.01,10.13
177.96,0.54,-0.66,9.21,29.76,95.0,23.2,18.09,35.89,-18.52,15.33
178.00,0.51,-0.04,9.28,29.76,95.0,23.2,18.33,35.65,-27.31,19.22
178.04,0.52,-1.05,9.38,29.76,95.0,23.2,17.73,35.89,-33.59,23.12
178.08,0.62,-0.63,9.27,29.76,95.0,23.2,18.33,36.14,-37.36,27.02
178.12,0.48,-0.47,9.28,29.76,95.0,23.2,17.85,35.65,-41.13,28.31
178.16,0.53,-0.86,9.37,29.76,95.0,23.2,18.09,35.65,-43.64,30.91
178.20,0.53,-0.45,9.32,29.76,95.0,23.2,18.21,35.65,-47.40,32.21
178.24,0.54,-0.92,9.34,29.76,95.0,23.2,18.45,35.89,-51.17,33.51
178.28,0.57,-0.68,9.39,29.76,95.0,23.2,18.21,35.89,-51.17,29.61
178.32,0.45,-0.09,9.28,29.76,95.0,23.2,17.97,35.89,-52.43,28.31
178.36,0.43,-0.57,9.35,29.76,95.0,23.2,17.61,35.89,-51.17,27.02
178.40,0.55,-1.01,9.39,29.76,95.0,23.2,18.21,35.89,-48.66,27.02
178.44,0.47,-0.22,9.23,29.76,95.0,23.2,17.73,35.65,-42.38,25.72
178.48,0.51,-0.00,9.27,29.76,95.0,23.2,18.68,36.14,-39.87,27.02
178.52,0.48,0.07,9.28,29.76,95.0,23.2,18.21,35.65,-33.59,27.02
178.56,0.46,0.19,9.23,29.76,95.0,23.2,17.73,35.89,-31.08,25.72
178.60,0.60,0.26,9.15,29.76,95.0,23.2,18.21,35.65,-23.54,25.72
178.64,0.45,0.40,9.20,29.76,95.0,23.2,17.85,35.89,-18.52,27.02
178.68,0.43,0.70,9.19,29.76,95.0,23.2,18.56,35.89,-14.75,27.02
178.72,0.45,0.88,9.13,29.76,95.0,23.2,18.09,35.89,-9.73,24.42
178.76,0.46,1.05,9.08,29.76,95.0,23.2,18.33,35.89,-8.47,23.12
178.80,0.49,1.27,9.03,29.76,95.0,23.2,17.85,36.14,-0.94,20.52
178.84,0.36,1.48,9.04,29.76,95.0,23.2,17.97,35.65,6.60,16.63
178.88,0.46,1.89,8.95,29.76,95.0,23.2,18.09,35.89,9.11,7.54
178.92,0.48,2.17,9.00,29.76,95.0,23.2,17.85,35.89,16.65,1.04
178.96,0.30,2.71,8.99,29.76,95.0,23.2,18.09,35.89,19.16,-9.35
179.00,0.39,3.03,8.94,29.76,95.0,23.2,17.85,35.89,24.18,-15.84
179.04,0.43,3.15,8.89,29.76,95.0,23.2,17.97,35.89,25.44,-23.63
179.08,0.23,3.59,8.96,29.76,95.0,23.2,18.45,35.65,27.95,-31.43
179.12,0.41,3.62,8.91,29.76,95.0,23.2,17.97,36.14,29.21,-34.02
179.16,0.36,3.78,8.96,29.76,95.0,23.2,17.73,35.65,31.72,-37.92
179.20,0.27,4.16,8.88,29.76,95.0,23.2,18.68,36.14,34.23,-40.52
179.24,0.42,3.74,8.94,29.76,95.0,23.2,17.73,35.40,34.23,-43.11
179.28,0.33,3.89,8.92,29.76,95.0,23.2,18.56,35.89,36.74,-45.71
179.32,0.35,3.64,8.89,29.76,95.0,23.2,18.09,35.89,34.23,-49.61
179.36,0.41,3.67,8.89,29.76,95.0,23.2,17.97,36.14,34.23,-53.50
179.40,0.25,3.75,8.97,29.76,95.0,23.2,17.73,35.65,32.97,-44.41
179.44,0.41,3.15,8.92,29.76,95.0,23.2,17.85,35.65,31.72,-53.50
179.48,0.45,2.96,8.94,29.76,95.0,23.2,18.92,35.40,29.21,-52.20
179.52,0.36,2.69,8.98,29.76,95.0,23.2,18.33,35.65,25.44,-49.61
179.56,0.43,2.47,9.00,29.76,95.0,23.2,18.33,35.89,22.93,-48.31
179.60,0.41,2.48,8.99,29.76,95.0,23.2,17.97,36.14,20.41,-40.52
179.64,0.40,1.93,9.03,29.76,95.0,23.2,17.73,35.89,16.65,-37.92
179.68,0.43,1.59,9.00,29.76,95.0,23.2,18.21,35.65,12.88,-30.13
179.72,0.45,1.41,9.02,29.76,95.0,23.2,18.21,35.65,10.37,-24.93
179.76,0.46,0.99,9.12,29.76,95.0,23.2,18.09,35.40,7.86,-15.84
179.80,0.45,0.80,9.07,29.76,95.0,23.2,18.33,35.89,4.09,-2.85
179.84,0.47,0.69,9.12,29.76,95.0,23.2,17.85,36.14,0.32,-2.85
179.88,0.52,0.06,9.18,29.76,95.0,23.2,18.21,35.65,-4.70,4.94
179.92,0.51,-0.11,9.21,29.76,95.0,23.2,18.33,36.14,-10.98,8.83
179.96,0.54,-0.07,9.30,29.76,95.0,23.2,18.68,35.65,-17.26,14.03
180.00,0.50,-0.36,9.29,29.76,95.0,23.2,18.21,36.14,-24.80,19.22
180.04,0.57,-0.86,9.32,29.76,95.0,23.2,18.09,35.89,-27.31,23.12
180.08,0.53,-0.31,9.28,29.76,95.0,23.2,18.56,36.14,-33.59,27.02
180.12,0.49,-1.05,9.39,29.76,95.0,23.2,18.21,35.65,-38.61,29.61
180.16,0.57,-0.49,9.35,29.76,95.0,23.2,18.09,36.14,-42.38,27.02
180.20,0.50,-0.67,9.33,29.76,95.0,23.2,18.21,35.65,-47.40,28.31
180.24,0.56,-1.13,9.37,29.76,95.0,23.2,18.21,36.14,-48.66,28.31
180.28,0.51,-0.36,9.28,29.76,95.0,23.2,18.33,35.89,-51.17,28.31
180.32,0.45,-0.51,9.36,29.76,95.0,23.2,18.09,35.89,-53.68,28.31
180.36,0.61,-0.04,9.26,29.76,95.0,23.2,18.09,35.89,-52.43,27.02
180.40,0.54,-0.43,9.28,29.76,95.0,23.2,18.21,35.89,-47.40,28.31
180.44,0.59,-0.39,9.27,29.76,95.0,23.2,18.21,35.89,-46.15,25.72
180.48,0.63,-0.42,9.27,29.76,95.0,23.2,18.21,35.65,-38.61,27.02
180.52,0.46,0.09,9.23,29.76,95.0,23.2,18.09,35.65,-34.85,25.72
180.56,0.54,0.31,9.21,29.76,95.0,23.2,18.09,36.14,-32.33,27.02
180.60,0.53,0.05,9.26,29.76,95.0,23.2,18.21,36.14,-26.05,27.02
180.64,0.44,0.22,9.16,29.76,95.0,23.2,18.09,35.89,-23.54,29.61
180.68,0.53,0.48,9.11,29.76,95.0,23.2,18.21,35.89,-19.77,27.02
180.72,0.43,0.95,9.10,29.76,95.0,23.2,17.61,35.65,-14.75,27.02
180.76,0.51,1.00,9.11,29.76,95.0,23.2,18.09,35.89,-10.98,24.42
180.80,0.43,1.01,9.12,29.76,95.0,23.2,18.33,36.14,-4.70,19.22
180.84,0.45,1.31,9.04,29.76,95.0,23.2,17.85,35.65,-0.94,16.63
180.88,0.51,1.70,9.03,29.76,95.0,23.2,18.56,35.89,7.86,7.54
180.92,0.36,2.04,9.00,29.76,95.0,23.2,17.97,35.65,15.39,4.94
180.96,0.37,2.73,8.95,29.76,95.0,23.2,18.21,35.65,16.65,-4.15
181.00,0.48,2.69,8.96,29.76,95.0,23.2,17.97,35.89,22.93,-13.24
181.04,0.29,3.21,8.98,29.76,95.0,23.2,17.97,35.65,25.44,-17.14
181.08,0.34,3.40,8.95,29.76,95.0,23.2,18.21,35.65,27.95,-24.93
181.12,0.44,3.48,8.88,29.76,95.0,23.2,17.49,35.65,30.46,-30.13
181.16,0.28,3.91,8.93,29.76,95.0,23.2,18.09,35.89,30.46,-36.62
181.20,0.35,3.91,8.95,29.76,95.0,23.2,17.85,36.14,32.97,-43.11
181.24,0.39,3.95,8.89,29.76,95.0,23.2,18.09,36.14,34.23,-44.41
181.28,0.28,3.96,8.94,29.76,95.0,23.2,18.33,35.89,35.49,-48.31
181.32,0.44,3.53,8.94,29.76,95.0,23.2,17.85,35.65,34.23,-50.91
181.36,0.29,3.79,8.98,29.76,95.0,23.2,17.97,35.65,35.49,-50.91
181.40,0.28,3.60,8.94,29.76,95.0,23.2,18.45,36.14,31.72,-53.50
181.44,0.44,3.40,8.93,29.76,95.0,23.2,18.33,35.65,32.97,-52.20
181.48,0.34,3.17,8.94,29.76,95.0,23.2,17.97,35.89,30.46,-50.91
181.52,0.38,2.57,8.99,29.76,95.0,23.2,17.85,35.65,29.21,-50.91
181.56,0.43,2.72,8.97,29.76,95.0,23.2,18.92,35.40,24.18,-47.01
181.60,0.36,2.46,9.01,29.76,95.0,23.2,18.21,35.40,21.67,-43.11
181.64,0.41,2.19,8.98,29.76,95.0,23.2,17.85,35.89,17.90,-40.52
181.68,0.42,1.96,8.99,29.76,95.0,23.2,19.04,35.89,14.13,-34.02
181.72,0.44,1.36,9.07,29.76,95.0,23.2,17.01,35.89,12.88,-28.83
181.76,0.46,1.07,9.02,29.76,95.0,23.2,18.33,35.65,9.11,-18.44
181.80,0.42,1.08,9.06,29.76,95.0,23.2,17.85,35.89,4.09,-8.05
181.84,0.47,0.66,9.13,29.76,95.0,23.2,18.21,35.89,0.32,-5.45
181.88,0.48,0.14,9.16,29.76,95.0,23.2,18.21,36.39,-4.70,7.54
181.92,0.49,0.15,9.18,29.76,95.0,23.2,18.09,35.65,-7.22,10.13
181.96,0.50,-0.07,9.27,29.76,95.0,23.2,18.09,35.89,-16.01,12.73
182.00,0.51,-0.71,9.26,29.76,95.0,23.2,18.33,35.65,-23.54,20.52
182.04,0.54,-0.19,9.19,29.76,95.0,23.2,18.21,35.89,-27.31,19.22
182.08,0.47,-0.83,9.36,29.76,95.0,23.2,17.85,35.89,-33.59,21.82
182.12,0.60,-0.84,9.35,29.76,95.0,23.2,17.85,35.89,-38.61,21.82
182.16,0.54,-0.35,9.27,29.76,95.0,23.2,17.97,35.65,-41.13,25.72
