Time (s),Accel_x (m/s2),Accel_y (m/s2),Accel_z (m/s2),RPM,Humidity (percentage),Amb_Temp (C),Water_Temp (C),Motor_Temp (C),noBond_height 1 (mm),noBond_height 2 (mm)
173.76,0.16,3.36,9.19,52.16,94.0,21.5,18.68,25.68,35.11,2.47
173.80,0.17,2.40,9.21,52.16,94.0,21.5,18.68,25.68,41.36,13.75
173.84,0.18,2.39,9.11,52.16,94.0,21.5,18.45,25.85,51.36,21.27
173.88,0.04,1.96,9.09,52.16,94.0,21.5,18.45,25.85,55.11,32.55
173.92,0.10,0.81,9.07,52.16,94.0,21.5,18.21,25.85,58.86,40.07
173.96,0.19,0.23,9.21,52.16,94.0,21.5,18.33,25.68,58.86,42.58
174.00,0.21,-0.09,9.18,52.16,94.0,21.5,18.68,25.68,56.36,48.85
174.04,0.18,-0.69,9.11,52.16,94.0,21.5,18.56,25.51,53.86,50.10
174.08,0.24,-2.14,9.23,52.16,94.0,21.5,18.33,25.68,51.36,50.10
174.12,0.19,-1.49,9.28,52.16,94.0,21.5,18.68,25.51,43.86,45.09
174.16,0.11,-1.90,9.32,52.16,94.0,21.5,18.68,25.68,32.61,42.58
174.20,0.19,-1.70,9.22,52.16,94.0,21.5,18.56,25.68,25.12,33.80
174.24,0.20,-1.43,9.19,52.16,94.0,21.5,18.45,25.85,8.87,28.79
174.28,0.20,-1.89,9.30,52.16,94.0,21.5,18.68,25.85,1.37,15.00
174.32,0.23,-1.46,9.29,52.16,94.0,21.5,18.80,25.68,-16.12,-1.30
174.36,0.16,-0.93,9.19,52.16,94.0,21.5,18.45,25.68,-36.12,-8.82
174.40,0.22,-1.14,9.22,52.16,94.0,21.5,18.56,25.68,-44.86,-26.37
174.44,0.26,-0.68,9.15,52.16,94.0,21.5,18.56,25.51,-59.86,-36.39
174.48,0.13,0.54,9.18,52.16,94.0,21.5,18.68,25.85,-67.36,-52.69
174.52,0.16,0.57,9.13,52.16,94.0,21.5,18.68,25.34,-77.35,-63.97
174.56,0.15,1.11,9.14,52.16,94.0,21.5,18.21,25.68,-81.10,-68.99
174.60,0.13,1.69,9.17,52.16,94.0,21.5,18.56,25.68,-83.60,-72.75
174.64,0.19,2.31,9.11,52.16,94.0,21.5,18.56,25.68,-76.10,-71.49
174.68,0.16,3.24,9.13,52.16,94.0,21.5,18.80,25.51,-68.61,-57.70
174.72,0.10,3.99,9.19,52.16,94.0,21.5,18.56,25.85,-48.61,-52.69
174.76,0.14,3.78,9.22,52.16,94.0,21.5,18.09,25.68,-36.12,-37.65
174.80,0.15,3.51,9.22,52.16,94.0,21.5,18.45,25.85,-12.37,-22.61
174.84,0.10,4.31,9.20,52.16,94.0,21.5,18.33,25.85,7.62,-13.83
174.88,0.11,3.47,9.22,52.16,94.0,21.5,18.68,25.85,18.87,-3.80
174.92,0.14,3.16,9.25,52.16,94.0,21.5,18.80,25.51,37.61,9.99
174.96,0.09,2.37,9.17,52.16,94.0,21.5,18.68,25.68,42.61,16.25
175.00,0.18,2.22,9.16,52.16,94.0,21.5,18.80,25.68,55.11,27.54
175.04,0.20,1.71,9.05,52.16,94.0,21.5,18.56,25.68,57.61,33.80
175.08,0.17,0.43,9.07,52.16,94.0,21.5,18.56,25.68,60.11,41.33
175.12,0.17,0.24,9.21,52.16,94.0,21.5,18.80,25.85,58.86,46.34
175.16,0.18,-0.19,9.12,52.16,94.0,21.5,18.92,25.51,57.61,50.10
175.20,0.16,-0.90,9.15,52.16,94.0,21.5,18.45,25.85,52.61,48.85
175.24,0.25,-2.07,9.23,52.16,94.0,21.5,18.68,25.34,51.36,50.10
175.28,0.25,-1.89,9.34,52.16,94.0,21.5,18.92,25.85,41.36,43.83
175.32,0.17,-1.40,9.20,52.16,94.0,21.5,18.68,25.51,28.86,42.58
175.36,0.17,-1.84,9.25,52.16,94.0,21.5,18.68,25.68,22.62,35.06
175.40,0.20,-1.75,9.34,52.16,94.0,21.5,18.56,25.51,7.62,21.27
175.44,0.19,-1.42,9.25,52.16,94.0,21.5,18.45,25.68,-2.38,15.00
175.48,0.20,-1.53,9.22,52.16,94.0,21.5,18.92,25.68,-19.87,-1.30
175.52,0.14,-0.99,9.22,52.16,94.0,21.5,18.33,25.68,-38.62,-8.82
175.56,0.25,-0.92,9.22,52.16,94.0,21.5,18.56,25.68,-47.36,-27.62
175.60,0.15,-0.39,9.21,52.16,94.0,21.5,18.56,25.85,-61.11,-43.92
175.64,0.12,0.27,9.14,52.16,94.0,21.5,18.68,26.02,-68.61,-53.94
175.68,0.17,0.86,9.14,52.16,94.0,21.5,18.68,25.85,-78.60,-66.48
175.72,0.26,1.22,9.06,52.16,94.0,21.5,18.68,25.51,-73.61,-70.24
175.76,0.14,1.64,9.24,52.16,94.0,21.5,18.56,25.85,-84.85,-74.00
175.80,0.07,3.21,9.12,52.16,94.0,21.5,18.92,25.85,-77.35,-66.48
175.84,0.16,2.98,9.19,52.16,94.0,21.5,18.56,25.51,-66.11,-57.70
175.88,0.09,3.95,9.23,52.16,94.0,21.5,18.56,25.68,-46.11,-45.17
175.92,0.17,4.13,9.17,52.16,94.0,21.5,18.68,25.85,-32.37,-37.65
175.96,0.18,3.41,9.20,52.16,94.0,21.5,18.21,25.85,-8.62,-22.61
176.00,0.09,4.25,9.17,52.16,94.0,21.5,18.80,25.85,13.87,-5.06
176.04,0.14,3.55,9.20,52.16,94.0,21.5,18.45,25.68,23.87,-2.55
176.08,0.15,2.72,9.19,52.16,94.0,21.5,18.56,25.68,40.11,11.24
176.12,0.06,2.43,9.10,52.16,94.0,21.5,18.68,25.85,46.36,17.51
176.16,0.14,2.14,9.14,52.16,94.0,21.5,18.56,25.68,53.86,27.54
176.20,0.22,1.30,9.09,52.16,94.0,21.5,18.45,25.68,58.86,36.31
176.24,0.21,0.53,9.17,52.16,94.0,21.5,18.56,25.51,60.11,40.07
176.28,0.16,0.09,9.17,52.16,94.0,21.5,18.92,25.34,58.86,47.59
176.32,0.17,-0.44,9.15,52.16,94.0,21.5,18.68,25.68,57.61,48.85
176.36,0.14,-0.93,9.25,52.16,94.0,21.5,18.80,25.85,53.86,52.61
176.40,0.22,-2.01,9.25,52.16,94.0,21.5,18.68,25.85,48.86,47.59
176.44,0.23,-2.26,9.31,52.16,94.0,21.5,18.92,25.51,40.11,47.59
176.48,0.16,-1.20,9.17,52.16,94.0,21.5,18.45,25.85,26.37,38.82
176.52,0.12,-1.86,9.31,52.16,94.0,21.5,18.68,25.68,20.12,33.80
176.56,0.19,-1.89,9.29,52.16,94.0,21.5,18.45,25.85,3.87,20.02
176.60,0.15,-1.27,9.24,52.16,94.0,21.5,18.45,26.02,-6.13,6.23
176.64,0.13,-1.42,9.28,52.16,94.0,21.5,18.45,25.68,-24.87,-1.30
176.68,0.16,-1.14,9.21,52.16,94.0,21.5,18.45,25.51,-41.12,-18.84
176.72,0.25,-0.56,9.20,52.16,94.0,21.5,18.80,26.02,-48.61,-26.37
176.76,0.17,-0.16,9.12,52.16,94.0,21.5,18.80,25.85,-64.86,-45.17
176.80,0.11,0.53,9.14,52.16,94.0,21.5,18.80,25.68,-72.36,-60.21
176.84,0.09,1.03,9.16,52.16,94.0,21.5,18.09,25.68,-79.85,-66.48
176.88,0.27,1.11,9.14,52.16,94.0,21.5,18.56,25.68,-83.60,-72.75
176.92,0.19,2.07,9.11,52.16,94.0,21.5,18.80,25.68,-86.10,-74.00
176.96,0.04,2.99,9.16,52.16,94.0,21.5,18.68,25.68,-73.61,-65.23
177.00,0.09,3.55,9.20,52.16,94.0,21.5,18.80,25.68,-62.36,-51.44
177.04,0.12,3.78,9.15,52.16,94.0,21.5,18.56,25.85,-53.61,-45.17
177.08,0.13,4.05,9.19,52.16,94.0,21.5,18.45,25.68,-52.36,-28.87
177.12,0.22,3.74,9.20,52.16,94.0,21.5,18.80,25.68,-52.36,-22.61
177.16,0.10,4.00,9.18,52.16,94.0,21.5,18.92,25.68,18.87,-7.56
177.20,0.18,3.59,9.21,52.16,94.0,21.5,18.45,25.68,26.37,4.97
177.24,0.17,2.42,9.15,52.16,94.0,21.5,18.68,25.68,42.61,11.24
177.28,0.09,2.49,9.20,52.16,94.0,21.5,18.56,25.85,46.36,22.52
177.32,0.02,2.10,9.15,52.16,94.0,21.5,18.33,25.68,56.36,28.79
177.36,0.12,1.00,9.17,52.16,94.0,21.5,18.56,25.68,61.36,37.56
177.40,0.20,0.47,9.12,52.16,94.0,21.5,18.68,25.68,60.11,45.09
177.44,0.16,-0.03,9.21,52.16,94.0,21.5,18.21,25.68,57.61,47.59
177.48,0.14,-0.48,9.22,52.16,94.0,21.5,18.68,25.68,56.36,51.35
177.52,0.21,-1.40,9.14,52.16,94.0,21.5,18.33,25.68,51.36,50.10
177.56,0.18,-1.66,9.23,52.16,94.0,21.5,18.56,25.51,42.61,46.34
177.60,0.16,-2.17,9.30,52.16,94.0,21.5,18.56,25.85,37.61,42.58
177.64,0.20,-1.38,9.25,52.16,94.0,21.5,18.92,25.85,25.12,37.56
177.68,0.16,-1.62,9.28,52.16,94.0,21.5,18.68,25.68,17.62,28.79
177.72,0.23,-2.02,9.31,52.16,94.0,21.5,18.56,25.68,1.37,22.52
177.76,0.23,-1.20,9.21,52.16,94.0,21.5,18.56,25.85,-7.37,4.97
177.80,0.11,-1.18,9.20,52.16,94.0,21.5,18.45,25.68,-26.12,-10.07
177.84,0.22,-1.28,9.20,52.16,94.0,21.5,18.45,25.68,-43.61,-18.84
177.88,0.29,-0.74,9.15,52.16,94.0,21.5,18.56,26.20,-52.36,-37.65
177.92,0.14,0.05,9.14,52.16,94.0,21.5,18.56,25.85,-68.61,-46.42
177.96,0.14,0.73,9.11,52.16,94.0,21.5,18.45,25.68,-73.61,-60.21
178.00,0.11,0.86,9.20,52.16,94.0,21.5,18.68,25.85,-81.10,-70.24
178.04,0.17,1.56,9.10,52.16,94.0,21.5,18.56,26.02,-87.35,-74.00
178.08,0.19,2.04,9.09,52.16,94.0,21.5,18.56,25.51,-83.60,-70.24
178.12,0.12,3.13,9.15,52.16,94.0,21.5,18.45,25.68,-71.11,-65.23
178.16,0.06,4.08,9.17,52.16,94.0,21.5,18.68,25.85,-61.11,-51.44
178.20,0.15,3.35,9.28,52.16,94.0,21.5,18.92,25.68,-37.37,-37.65
178.24,0.10,4.11,9.23,52.16,94.0,21.5,18.56,25.85,-9.87,-31.38
178.28,0.14,3.98,9.15,52.16,94.0,21.5,18.80,25.68,-1.13,-15.08
178.32,0.10,3.65,9.31,52.16,94.0,21.5,18.80,25.68,20.12,-7.56
178.36,0.13,3.48,9.22,52.16,94.0,21.5,18.56,25.51,28.86,4.97
178.40,0.22,2.41,9.18,52.16,94.0,21.5,18.92,25.68,45.11,17.51
178.44,0.19,2.37,9.10,52.16,94.0,21.5,18.92,25.68,47.61,22.52
178.48,0.02,1.96,9.15,52.16,94.0,21.5,18.80,25.68,57.61,31.30
178.52,0.07,0.78,9.18,52.16,94.0,21.5,18.45,25.85,60.11,38.82
178.56,0.17,0.29,9.17,52.16,94.0,21.5,18.68,25.34,60.11,43.83
178.60,0.18,-0.04,9.19,52.16,94.0,21.5,18.68,25.85,57.61,48.85
178.64,0.16,-0.70,9.10,52.16,94.0,21.5,18.45,25.68,56.36,48.85
178.68,0.26,-2.19,9.27,52.16,94.0,21.5,19.04,25.68,51.36,46.34
178.72,0.22,-1.36,9.16,52.16,94.0,21.5,18.45,25.68,41.36,46.34
178.76,0.09,-1.95,9.36,52.16,94.0,21.5,18.33,25.85,36.36,42.58
178.80,0.19,-1.74,9.32,52.16,94.0,21.5,19.04,25.68,22.62,33.80
178.84,0.23,-1.49,9.22,52.16,94.0,21.5,18.80,25.68,13.87,27.54
178.88,0.21,-1.89,9.33,52.16,94.0,21.5,18.21,25.51,-1.13,15.00
178.92,0.19,-1.39,9.31,52.16,94.0,21.5,18.80,25.85,-11.12,7.48
178.96,0.14,-0.96,9.17,52.16,94.0,21.5,18.68,25.85,-29.87,-10.07
179.00,0.25,-1.19,9.23,52.16,94.0,21.5,18.45,25.85,-47.36,-27.62
179.04,0.17,-0.49,9.21,52.16,94.0,21.5,18.80,25.85,-54.86,-37.65
179.08,0.12,0.40,9.14,52.16,94.0,21.5,19.04,25.51,-68.61,-52.69
179.12,0.20,0.68,9.12,52.16,94.0,21.5,17.97,25.68,-74.86,-60.21
179.16,0.19,1.17,9.13,52.16,94.0,21.5,18.56,25.85,-82.35,-70.24
179.20,0.12,1.69,9.19,52.16,94.0,21.5,18.33,25.68,-86.10,-72.75
179.24,0.13,2.29,9.11,52.16,94.0,21.5,18.68,25.68,-81.10,-70.24
179.28,0.16,3.23,9.13,52.16,94.0,21.5,18.68,25.85,-67.36,-58.96
179.32,0.08,4.14,9.23,52.16,94.0,21.5,18.45,25.68,-56.11,-51.44
179.36,0.17,3.65,9.21,52.16,94.0,21.5,18.92,25.85,-32.37,-37.65
179.40,0.14,3.59,9.15,52.16,94.0,21.5,18.68,25.68,-8.62,-23.86
179.44,0.08,4.31,9.21,52.16,94.0,21.5,18.68,25.68,2.62,-13.83
179.48,0.09,3.48,9.27,52.16,94.0,21.5,18.80,25.51,23.87,-2.55
179.52,0.13,3.22,9.22,52.16,94.0,21.5,18.56,25.34,31.36,6.23
179.56,0.12,2.44,9.19,52.16,94.0,21.5,18.56,25.85,45.11,16.25
179.60,0.23,2.20,9.14,52.16,94.0,21.5,18.56,25.85,51.36,23.78
179.64,0.17,1.78,9.12,52.16,94.0,21.5,18.45,25.51,58.86,33.80
179.68,0.14,0.52,9.10,52.16,94.0,21.5,19.04,26.02,58.86,42.58
179.72,0.19,0.22,9.19,52.16,94.0,21.5,18.80,26.02,60.11,45.09
179.76,0.16,-0.20,9.17,52.16,94.0,21.5,18.56,25.85,57.61,48.85
179.80,0.18,-0.88,9.12,52.16,94.0,21.5,18.45,25.68,55.11,48.85
179.84,0.26,-1.97,9.10,52.16,94.0,21.5,18.56,25.68,48.86,46.34
179.88,0.26,-1.90,9.31,52.16,94.0,21.5,18.45,25.68,38.86,43.83
179.92,0.15,-1.44,9.21,52.16,94.0,21.5,18.33,25.85,32.61,41.33
179.96,0.18,-1.87,9.27,52.16,94.0,21.5,18.56,25.85,20.12,32.55
180.00,0.24,-1.67,9.29,52.16,94.0,21.5,18.80,25.68,11.37,26.28
180.04,0.16,-1.60,9.28,52.16,94.0,21.5,18.45,25.85,-4.88,13.75
180.08,0.21,-1.49,9.20,52.16,94.0,21.5,18.68,25.68,-23.62,-1.30
180.12,0.13,-0.97,9.25,52.16,94.0,21.5,18.56,25.85,-33.62,-10.07
180.16,0.22,-1.02,9.26,52.16,94.0,21.5,18.56,26.02,-48.61,-26.37
180.20,0.16,-0.51,9.18,52.16,94.0,21.5,18.80,25.51,-57.36,-37.65
180.24,0.10,0.37,9.15,52.16,94.0,21.5,18.68,25.68,-72.36,-51.44
180.28,0.17,0.85,9.18,52.16,94.0,21.5,18.33,25.68,-76.10,-65.23
180.32,0.23,1.20,9.08,52.16,94.0,21.5,18.68,25.51,-84.85,-68.99
180.36,0.15,1.69,9.18,52.16,94.0,21.5,18.80,25.85,-86.10,-74.00
180.40,0.12,3.04,9.12,52.16,94.0,21.5,18.45,25.68,-81.10,-71.49
180.44,0.17,3.09,9.17,52.16,94.0,21.5,17.97,25.68,-62.36,-57.70
180.48,0.07,3.89,9.26,52.16,94.0,21.5,18.68,25.68,-49.86,-46.42
180.52,0.17,4.03,9.18,52.16,94.0,21.5,18.68,25.68,-27.37,-40.16
180.56,0.23,3.50,9.18,52.16,94.0,21.5,18.68,25.85,-4.88,-26.37
180.60,0.09,4.23,9.22,52.16,94.0,21.5,18.56,25.34,6.37,-16.34
180.64,0.13,3.58,9.20,52.16,94.0,21.5,18.56,25.68,27.61,-1.30
180.68,0.14,2.87,9.25,52.16,94.0,21.5,18.56,25.85,35.11,12.49
180.72,0.04,2.30,9.17,52.16,94.0,21.5,18.68,25.85,47.61,17.51
180.76,0.14,2.30,9.12,52.16,94.0,21.5,18.45,25.68,53.86,30.04
180.80,0.20,1.39,9.10,52.16,94.0,21.5,18.80,25.85,60.11,35.06
180.84,0.21,0.42,9.12,52.16,94.0,21.5,18.56,25.51,60.11,42.58
180.88,0.15,0.24,9.17,52.16,94.0,21.5,18.80,25.85,60.11,48.85
180.92,0.16,-0.42,9.13,52.16,94.0,21.5,18.56,25.68,56.36,48.85
180.96,0.13,-0.90,9.25,52.16,94.0,21.5,18.45,25.68,55.11,47.59
181.00,0.18,-2.00,9.21,52.16,94.0,21.5,18.80,25.85,48.86,48.85
181.04,0.27,-2.14,9.35,52.16,94.0,21.5,18.80,25.85,37.61,43.83
181.08,0.20,-1.16,9.23,52.16,94.0,21.5,18.45,25.85,31.36,36.31
181.12,0.11,-1.91,9.34,52.16,94.0,21.5,18.68,25.85,16.37,32.55
181.16,0.20,-1.91,9.27,52.16,94.0,21.5,18.68,25.85,7.62,20.02
181.20,0.20,-1.19,9.18,52.16,94.0,21.5,18.68,25.68,-8.62,15.00
181.24,0.15,-1.42,9.26,52.16,94.0,21.5,18.33,25.85,-26.12,-1.30
181.28,0.16,-1.15,9.24,52.16,94.0,21.5,18.68,25.68,-34.87,-17.59
181.32,0.28,-0.77,9.17,52.16,94.0,21.5,18.68,25.68,-51.11,-27.62
181.36,0.21,-0.08,9.18,52.16,94.0,21.5,18.56,25.85,-61.11,-45.17
181.40,0.11,0.43,9.20,52.16,94.0,21.5,18.68,25.68,-74.86,-52.69
181.44,0.11,0.99,9.17,52.16,94.0,21.5,18.45,25.68,-79.85,-65.23
181.48,0.27,1.02,9.09,52.16,94.0,21.5,18.56,25.51,-87.35,-72.75
181.52,0.22,1.91,9.19,52.16,94.0,21.5,18.56,25.85,-84.85,-72.75
181.56,0.07,3.28,9.15,52.16,94.0,21.5,18.68,25.68,-77.35,-65.23
181.60,0.06,3.37,9.24,52.16,94.0,21.5,18.68,25.68,-58.61,-57.70
181.64,0.09,3.69,9.22,52.16,94.0,21.5,18.45,25.68,-46.11,-45.17
181.68,0.12,4.14,9.22,52.16,94.0,21.5,18.45,25.85,-23.62,-33.89
181.72,0.20,3.75,9.16,52.16,94.0,21.5,18.21,25.51,2.62,-25.11
181.76,0.07,3.92,9.17,52.16,94.0,21.5,18.80,25.85,11.37,-8.82
181.80,0.13,3.63,9.21,52.16,94.0,21.5,18.68,25.68,30.11,-2.55
181.84,0.18,2.38,9.14,52.16,94.0,21.5,18.45,25.68,36.36,13.75
181.88,0.10,2.52,9.18,52.16,94.0,21.5,18.45,25.85,48.86,25.03
181.92,0.01,2.05,9.16,52.16,94.0,21.5,18.45,25.51,58.86,30.04
181.96,0.18,1.07,9.22,52.16,94.0,21.5,18.68,25.85,61.36,38.82
182.00,0.24,0.50,9.15,52.16,94.0,21.5,18.21,25.68,61.36,43.83
182.04,0.11,0.04,9.16,52.16,94.0,21.5,18.56,25.85,58.86,47.59
182.08,0.08,-0.52,9.20,52.16,94.0,21.5,18.68,25.68,55.11,50.10
182.12,0.22,-1.25,9.18,52.16,94.0,21.5,18.68,25.51,53.86,48.85
182.16,0.21,-1.56,9.24,52.16,94.0,21.5,18.68,25.68,45.11,45.09
182.20,0.19,-2.20,9.27,52.16,94.0,21.5,18.80,25.85,35.11,42.58
182.24,0.12,-1.28,9.27,52.16,94.0,21.5,18.80,25.85,28.86,36.31
182.28,0.20,-1.71,9.23,52.16,94.0,21.5,18.33,25.68,13.87,26.28
182.32,0.24,-2.01,9.28,52.16,94.0,21.5,18.80,25.68,6.37,20.02
182.36,0.25,-1.19,9.27,52.16,94.0,21.5,18.56,25.85,-11.12,4.97
182.40,0.15,-1.23,9.19,52.16,94.0,21.5,18.56,25.85,-29.87,-2.55
182.44,0.25,-1.29,9.26,52.16,94.0,21.5,18.68,25.51,-38.62,-18.84
182.48,0.24,-0.64,9.19,52.16,94.0,21.5,18.56,25.51,-56.11,-37.65
182.52,0.12,0.11,9.16,52.16,94.0,21.5,18.56,25.68,-64.86,-43.92
182.56,0.20,0.76,9.09,52.16,94.0,21.5,18.45,25.68,-76.10,-57.70
182.60,0.14,0.83,9.14,52.16,94.0,21.5,18.33,25.68,-79.85,-65.23
182.64,0.16,1.54,9.10,52.16,94.0,21.5,18.45,25.51,-86.10,-71.49
182.68,0.21,2.05,9.08,52.16,94.0,21.5,18.56,25.85,-82.35,-70.24
182.72,0.12,2.89,9.19,52.16,94.0,21.5,18.56,25.85,-76.10,-65.23
182.76,0.04,4.16,9.18,52.16,94.0,21.5,18.68,26.02,-56.11,-52.69
182.80,0.12,3.36,9.23,52.16,94.0,21.5,18.21,25.68,-42.36,-45.17
182.84,0.13,4.07,9.25,52.16,94.0,21.5,18.09,25.85,-18.62,-33.89
182.88,0.15,4.05,9.12,52.16,94.0,21.5,18.68,25.85,5.12,-17.59
182.92,0.07,3.68,9.30,52.16,94.0,21.5,18.45,25.85,15.12,-8.82
182.96,0.15,3.48,9.17,52.16,94.0,21.5,18.33,25.68,31.36,6.23
