Time (s),Accel_x (m/s2),Accel_y (m/s2),Accel_z (m/s2),RPM,Humidity (percentage),Amb_Temp (C),Water_Temp (C),Motor_Temp (C),noBond_height 1 (mm),noBond_height 2 (mm)
183.91,0.11,1.67,9.16,52.17,93.0,21.5,18.68,24.02,-75.80,-66.94
183.95,0.17,2.18,9.17,52.17,93.0,21.5,18.45,23.86,-67.06,-61.92
183.99,0.16,3.22,9.17,52.17,93.0,21.5,18.68,23.70,-59.56,-51.90
184.03,0.11,4.08,9.20,52.17,93.0,21.5,19.04,24.02,-43.31,-43.12
184.07,0.08,3.60,9.26,52.17,93.0,21.5,18.80,24.02,-33.32,-28.08
184.11,0.12,3.70,9.23,52.17,93.0,21.5,18.92,23.86,-10.82,-13.04
184.15,0.10,4.28,9.21,52.17,93.0,21.5,18.33,23.86,7.92,-8.02
184.19,0.04,3.54,9.30,52.17,93.0,21.5,18.92,23.86,17.92,4.51
184.23,0.13,3.10,9.19,52.17,93.0,21.5,18.33,24.02,32.91,10.78
184.27,0.11,2.48,9.25,52.17,93.0,21.5,18.68,23.86,41.66,19.56
184.31,0.21,2.14,9.16,52.17,93.0,21.5,18.68,23.86,51.66,28.33
184.35,0.11,1.76,9.17,52.17,93.0,21.5,18.80,24.02,56.66,32.09
184.39,0.12,0.51,9.18,52.17,93.0,21.5,18.33,23.86,59.16,39.61
184.43,0.21,0.02,9.23,52.17,93.0,21.5,18.68,23.86,56.66,42.12
184.47,0.15,-0.16,9.21,52.17,93.0,21.5,18.56,24.02,57.91,44.63
184.51,0.14,-0.86,9.18,52.17,93.0,21.5,18.68,24.02,54.16,44.63
184.55,0.25,-2.03,9.24,52.17,93.0,21.5,18.33,23.70,50.41,42.12
184.59,0.24,-1.78,9.25,52.17,93.0,21.5,19.27,23.86,42.91,42.12
184.63,0.13,-1.55,9.28,52.17,93.0,21.5,18.56,23.86,29.17,37.11
184.67,0.17,-1.87,9.33,52.17,93.0,21.5,18.56,23.86,21.67,29.58
184.71,0.18,-1.71,9.35,52.17,93.0,21.5,18.68,23.86,4.17,17.05
184.75,0.16,-1.67,9.31,52.17,93.0,21.5,18.68,24.02,-4.57,9.53
184.79,0.20,-1.53,9.26,52.17,93.0,21.5,18.68,24.02,-23.32,-6.77
184.83,0.12,-0.92,9.20,52.17,93.0,21.5,18.33,23.86,-42.06,-14.29
184.87,0.21,-1.08,9.19,52.17,93.0,21.5,18.68,24.02,-50.81,-31.84
184.91,0.15,-0.38,9.17,52.17,93.0,21.5,18.21,23.70,-65.81,-48.14
184.95,0.12,0.37,9.16,52.17,93.0,21.5,18.56,23.70,-70.81,-54.40
184.99,0.19,0.75,9.12,52.17,93.0,21.5,18.33,24.02,-77.05,-63.18
185.03,0.26,1.23,9.09,52.17,93.0,21.5,18.80,23.86,-77.05,-68.19
185.07,0.11,1.58,9.21,52.17,93.0,21.5,18.80,24.18,-73.30,-66.94
185.11,0.10,2.99,9.12,52.17,93.0,21.5,18.68,23.86,-63.31,-58.16
185.15,0.15,3.09,9.11,52.17,93.0,21.5,18.56,24.02,-58.31,-51.90
185.19,0.11,3.97,9.23,52.17,93.0,21.5,18.56,24.02,-38.31,-35.60
185.23,0.16,3.99,9.22,52.17,93.0,21.5,18.56,24.02,-29.57,-29.33
185.27,0.18,3.47,9.22,52.17,93.0,21.5,18.56,23.86,-8.32,-15.54
185.31,0.09,4.36,9.18,52.17,93.0,21.5,18.68,23.70,11.67,-3.01
185.35,0.13,3.54,9.20,52.17,93.0,21.5,18.80,23.70,22.92,2.01
185.39,0.18,2.90,9.26,52.17,93.0,21.5,18.80,23.86,36.66,17.05
185.43,0.05,2.35,9.18,52.17,93.0,21.5,18.68,23.86,44.16,20.81
185.47,0.16,2.33,9.07,52.17,93.0,21.5,18.68,24.02,54.16,28.33
185.51,0.21,1.40,9.05,52.17,93.0,21.5,18.45,23.70,59.16,37.11
185.55,0.20,0.54,9.15,52.17,93.0,21.5,18.68,24.02,60.41,40.87
185.59,0.18,0.14,9.12,52.17,93.0,21.5,18.56,23.86,57.91,45.88
185.63,0.15,-0.36,9.14,52.17,93.0,21.5,18.56,23.86,56.66,44.63
185.67,0.13,-0.88,9.20,52.17,93.0,21.5,18.68,23.86,52.91,44.63
185.71,0.20,-2.00,9.28,52.17,93.0,21.5,18.56,23.70,50.41,43.37
185.75,0.20,-2.15,9.30,52.17,93.0,21.5,18.92,24.02,40.41,42.12
185.79,0.16,-1.29,9.25,52.17,93.0,21.5,18.56,23.86,26.67,34.60
185.83,0.16,-1.90,9.33,52.17,93.0,21.5,18.68,23.86,17.92,32.09
185.87,0.20,-1.82,9.27,52.17,93.0,21.5,18.68,23.70,1.67,15.80
185.91,0.17,-1.27,9.16,52.17,93.0,21.5,18.33,23.86,-8.32,4.51
185.95,0.14,-1.45,9.25,52.17,93.0,21.5,18.45,23.70,-27.07,-5.52
185.99,0.16,-1.15,9.20,52.17,93.0,21.5,18.56,24.02,-44.56,-24.32
186.03,0.23,-0.96,9.21,52.17,93.0,21.5,18.68,23.86,-52.06,-30.59
186.07,0.18,-0.06,9.15,52.17,93.0,21.5,18.80,23.86,-65.81,-48.14
186.11,0.11,0.44,9.15,52.17,93.0,21.5,18.45,23.70,-70.81,-60.67
186.15,0.07,0.94,9.15,52.17,93.0,21.5,19.04,23.70,-77.05,-63.18
186.19,0.22,1.10,9.13,52.17,93.0,21.5,18.56,24.02,-78.30,-69.45
186.23,0.19,1.90,9.10,52.17,93.0,21.5,18.80,23.86,-73.30,-69.45
186.27,0.06,3.31,9.14,52.17,93.0,21.5,18.45,23.86,-63.31,-56.91
186.31,0.08,3.15,9.22,52.17,93.0,21.5,18.56,24.02,-55.81,-44.38
186.35,0.08,3.81,9.25,52.17,93.0,21.5,18.92,24.02,-37.06,-38.11
186.39,0.14,4.09,9.17,52.17,93.0,21.5,18.56,24.02,-27.07,-24.32
186.43,0.19,3.66,9.19,52.17,93.0,21.5,18.33,23.86,-4.57,-14.29
186.47,0.08,3.98,9.17,52.17,93.0,21.5,18.68,23.54,15.42,-3.01
186.51,0.15,3.63,9.24,52.17,93.0,21.5,18.45,23.86,24.17,9.53
186.55,0.18,2.38,9.22,52.17,93.0,21.5,18.68,24.02,39.16,14.54
186.59,0.03,2.47,9.16,52.17,93.0,21.5,18.45,24.02,45.41,24.57
186.63,0.03,2.18,9.18,52.17,93.0,21.5,18.68,23.86,55.41,29.58
186.67,0.19,1.03,9.16,52.17,93.0,21.5,18.92,23.86,61.66,37.11
186.71,0.24,0.56,9.13,52.17,93.0,21.5,18.56,23.86,60.41,44.63
186.75,0.17,0.04,9.11,52.17,93.0,21.5,18.68,24.02,59.16,45.88
186.79,0.13,-0.40,9.19,52.17,93.0,21.5,18.56,23.86,55.41,45.88
186.83,0.21,-1.22,9.21,52.17,93.0,21.5,18.68,23.70,52.91,45.88
186.87,0.16,-1.58,9.21,52.17,93.0,21.5,18.68,23.70,44.16,44.63
186.91,0.22,-2.21,9.26,52.17,93.0,21.5,18.68,23.70,37.91,38.36
186.95,0.22,-1.28,9.14,52.17,93.0,21.5,18.80,23.86,22.92,34.60
186.99,0.14,-1.73,9.34,52.17,93.0,21.5,18.45,24.51,14.17,23.32
187.03,0.22,-1.97,9.27,52.17,93.0,21.5,18.80,23.86,-3.32,17.05
187.07,0.24,-1.27,9.23,52.17,93.0,21.5,18.56,24.02,-12.07,3.26
187.11,0.13,-1.24,9.24,52.17,93.0,21.5,18.56,23.70,-32.07,-14.29
187.15,0.22,-1.19,9.26,52.17,93.0,21.5,18.56,23.54,-48.31,-24.32
187.19,0.31,-0.77,9.21,52.17,93.0,21.5,18.68,23.86,-55.81,-39.36
187.23,0.14,0.01,9.14,52.17,93.0,21.5,18.56,23.86,-68.31,-48.14
187.27,0.12,0.61,9.14,52.17,93.0,21.5,18.45,24.18,-73.30,-59.42
187.31,0.09,0.87,9.15,52.17,93.0,21.5,18.45,24.02,-75.80,-66.94
187.35,0.17,1.38,9.06,52.17,93.0,21.5,18.56,23.86,-75.80,-68.19
187.39,0.24,2.02,9.10,52.17,93.0,21.5,18.56,23.70,-70.81,-64.43
187.43,0.12,3.20,9.18,52.17,93.0,21.5,18.68,24.02,-59.56,-58.16
187.47,0.06,3.95,9.16,52.17,93.0,21.5,18.80,24.02,-52.06,-46.88
187.51,0.12,3.31,9.22,52.17,93.0,21.5,18.45,23.86,-32.07,-29.33
187.55,0.15,4.24,9.20,52.17,93.0,21.5,18.56,23.70,-22.07,-24.32
187.59,0.17,3.97,9.14,52.17,93.0,21.5,18.33,24.02,-0.83,-9.28
187.63,0.13,3.68,9.26,52.17,93.0,21.5,18.68,23.86,20.42,-3.01
187.67,0.16,3.58,9.16,52.17,93.0,21.5,18.56,23.86,27.92,12.03
187.71,0.20,2.26,9.21,52.17,93.0,21.5,18.45,24.02,41.66,22.06
187.75,0.19,2.49,9.13,52.17,93.0,21.5,18.45,23.86,47.91,25.82
187.79,-0.05,1.99,9.15,52.17,93.0,21.5,18.56,23.86,56.66,35.85
187.83,0.11,0.96,9.10,52.17,93.0,21.5,18.80,24.02,60.41,39.61
187.87,0.22,0.34,9.10,52.17,93.0,21.5,18.21,23.70,60.41,45.88
187.91,0.13,-0.01,9.16,52.17,93.0,21.5,18.68,23.86,60.41,47.13
187.95,0.15,-0.59,9.14,52.17,93.0,21.5,18.68,23.70,57.91,47.13
187.99,0.24,-1.99,9.24,52.17,93.0,21.5,18.56,23.86,52.91,45.88
188.03,0.20,-1.30,9.19,52.17,93.0,21.5,18.56,23.70,41.66,43.37
188.07,0.16,-1.97,9.31,52.17,93.0,21.5,18.80,23.86,36.66,37.11
188.11,0.21,-1.60,9.26,52.17,93.0,21.5,18.92,23.70,22.92,29.58
188.15,0.20,-1.56,9.25,52.17,93.0,21.5,18.45,23.39,10.42,23.32
188.19,0.22,-1.95,9.31,52.17,93.0,21.5,18.56,23.86,-5.82,10.78
188.23,0.21,-1.33,9.25,52.17,93.0,21.5,18.68,24.02,-17.07,0.75
188.27,0.10,-1.07,9.24,52.17,93.0,21.5,18.56,23.86,-35.82,-15.54
188.31,0.20,-1.13,9.14,52.17,93.0,21.5,18.56,23.86,-49.56,-30.59
188.35,0.19,-0.54,9.20,52.17,93.0,21.5,18.92,23.86,-60.81,-40.61
188.39,0.15,0.30,9.17,52.17,93.0,21.5,18.68,23.86,-70.81,-54.40
188.43,0.14,0.73,9.11,52.17,93.0,21.5,18.56,24.02,-75.80,-59.42
188.47,0.15,1.08,9.12,52.17,93.0,21.5,18.68,24.18,-79.55,-68.19
188.51,0.14,1.71,9.17,52.17,93.0,21.5,18.33,23.86,-74.55,-69.45
188.55,0.11,2.10,9.22,52.17,93.0,21.5,18.56,23.70,-68.31,-65.69
188.59,0.12,3.18,9.11,52.17,93.0,21.5,18.68,23.86,-54.56,-53.15
188.63,0.11,4.18,9.17,52.17,93.0,21.5,18.68,23.70,-48.31,-46.88
188.67,0.15,3.59,9.22,52.17,93.0,21.5,18.56,24.02,-28.32,-31.84
188.71,0.13,3.73,9.20,52.17,93.0,21.5,18.33,24.02,-13.32,-18.05
188.75,0.07,4.29,9.22,52.17,93.0,21.5,18.92,23.86,2.92,-11.78
188.79,0.08,3.51,9.22,52.17,93.0,21.5,18.56,23.86,22.92,2.01
188.83,0.14,3.22,9.22,52.17,93.0,21.5,18.68,23.70,29.17,9.53
188.87,0.07,2.47,9.26,52.17,93.0,21.5,18.33,24.18,44.16,22.06
188.91,0.23,2.20,9.14,52.17,93.0,21.5,19.04,23.86,50.41,32.09
188.95,0.10,1.84,9.16,52.17,93.0,21.5,18.56,24.02,57.91,37.11
188.99,0.07,0.48,9.20,52.17,93.0,21.5,18.56,24.02,60.41,42.12
189.03,0.21,0.21,9.20,52.17,93.0,21.5,18.80,23.86,61.66,45.88
189.07,0.16,-0.15,9.14,52.17,93.0,21.5,18.56,23.86,57.91,48.39
189.11,0.16,-0.88,9.09,52.17,93.0,21.5,18.56,24.02,56.66,45.88
189.15,0.26,-2.06,9.20,52.17,93.0,21.5,18.92,23.70,51.66,45.88
189.19,0.23,-1.63,9.24,52.17,93.0,21.5,18.80,23.86,40.41,40.87
189.23,0.13,-1.60,9.31,52.17,93.0,21.5,18.56,23.86,34.16,37.11
189.27,0.16,-1.81,9.26,52.17,93.0,21.5,18.92,24.02,19.17,30.84
189.31,0.21,-1.61,9.25,52.17,93.0,21.5,18.21,23.86,9.17,17.05
189.35,0.18,-1.65,9.31,52.17,93.0,21.5,18.56,23.86,-8.32,10.78
189.39,0.16,-1.56,9.25,52.17,93.0,21.5,18.68,23.86,-20.82,-6.77
189.43,0.15,-0.92,9.22,52.17,93.0,21.5,17.73,24.18,-39.56,-14.29
189.47,0.20,-1.14,9.28,52.17,93.0,21.5,18.68,23.70,-55.81,-31.84
189.51,0.15,-0.45,9.17,52.17,93.0,21.5,18.80,23.70,-62.06,-46.88
189.55,0.17,0.26,9.15,52.17,93.0,21.5,18.80,23.70,-73.30,-54.40
189.59,0.15,0.76,9.14,52.17,93.0,21.5,18.68,24.18,-75.80,-64.43
189.63,0.24,1.21,9.10,52.17,93.0,21.5,18.80,24.02,-77.05,-68.19
189.67,0.17,1.51,9.17,52.17,93.0,21.5,18.68,23.86,-72.05,-69.45
189.71,0.09,3.00,9.08,52.17,93.0,21.5,18.45,23.39,-67.06,-60.67
189.75,0.17,3.00,9.14,52.17,93.0,21.5,18.56,23.86,-54.56,-54.40
189.79,0.10,3.96,9.29,52.17,93.0,21.5,18.56,23.86,-44.56,-39.36
189.83,0.14,4.12,9.21,52.17,93.0,21.5,18.80,23.86,-25.82,-31.84
189.87,0.19,3.45,9.21,52.17,93.0,21.5,19.04,23.54,-14.57,-18.05
189.91,0.06,4.27,9.19,52.17,93.0,21.5,18.80,24.02,5.42,-3.01
189.95,0.11,3.68,9.19,52.17,93.0,21.5,18.68,24.02,24.17,4.51
189.99,0.14,2.81,9.18,52.17,93.0,21.5,18.56,23.86,34.16,15.80
190.03,0.04,2.43,9.15,52.17,93.0,21.5,18.56,23.86,45.41,20.81
190.07,0.14,2.27,9.08,52.17,93.0,21.5,18.56,23.86,51.66,32.09
190.11,0.21,1.40,9.06,52.17,93.0,21.5,18.56,24.02,56.66,40.87
190.15,0.19,0.53,9.13,52.17,93.0,21.5,18.68,23.86,60.41,40.87
190.19,0.17,0.16,9.09,52.17,93.0,21.5,18.80,23.39,61.66,47.13
190.23,0.17,-0.33,9.13,52.17,93.0,21.5,18.68,23.70,56.66,47.13
190.27,0.12,-0.86,9.26,52.17,93.0,21.5,18.80,23.86,57.91,45.88
190.31,0.20,-1.98,9.25,52.17,93.0,21.5,18.68,23.70,50.41,43.37
190.35,0.25,-2.12,9.28,52.17,93.0,21.5,19.15,23.70,39.16,42.12
190.39,0.11,-1.30,9.26,52.17,93.0,21.5,18.68,23.70,32.91,35.85
190.43,0.13,-1.92,9.34,52.17,93.0,21.5,18.68,23.86,16.67,30.84
190.47,0.19,-1.81,9.27,52.17,93.0,21.5,18.80,23.86,5.42,18.30
190.51,0.14,-1.36,9.24,52.17,93.0,21.5,18.68,24.02,-13.32,3.26
190.55,0.15,-1.43,9.23,52.17,93.0,21.5,18.68,23.70,-24.57,-4.26
190.59,0.14,-1.11,9.25,52.17,93.0,21.5,18.80,23.70,-42.06,-21.81
190.63,0.23,-0.73,9.21,52.17,93.0,21.5,18.45,23.86,-58.31,-30.59
190.67,0.15,-0.29,9.16,52.17,93.0,21.5,18.68,23.86,-63.31,-46.88
190.71,0.12,0.42,9.15,52.17,93.0,21.5,18.80,23.86,-74.55,-60.67
190.75,0.13,1.10,9.15,52.17,93.0,21.5,18.68,24.02,-77.05,-64.43
190.79,0.25,1.08,9.14,52.17,93.0,21.5,18.45,24.02,-77.05,-69.45
190.83,0.18,1.83,9.13,52.17,93.0,21.5,18.21,23.86,-69.56,-71.95
190.87,0.08,3.22,9.13,52.17,93.0,21.5,18.45,23.86,-63.31,-60.67
190.91,0.11,3.11,9.19,52.17,93.0,21.5,18.45,24.02,-49.56,-48.14
190.95,0.11,3.85,9.24,52.17,93.0,21.5,18.68,23.86,-40.81,-40.61
190.99,0.16,4.04,9.19,52.17,93.0,21.5,18.56,23.86,-22.07,-25.57
191.03,0.23,3.66,9.19,52.17,93.0,21.5,18.80,24.18,-4.57,-18.05
191.07,0.11,3.98,9.15,52.17,93.0,21.5,18.56,23.86,7.92,-3.01
191.11,0.11,3.63,9.20,52.17,93.0,21.5,18.45,24.02,25.42,10.78
191.15,0.22,2.40,9.23,52.17,93.0,21.5,18.68,23.70,34.16,15.80
191.19,0.08,2.56,9.11,52.17,93.0,21.5,18.56,23.86,49.16,27.08
191.23,0.00,2.16,9.14,52.17,93.0,21.5,18.68,23.86,50.41,32.09
191.27,0.20,1.12,9.14,52.17,93.0,21.5,18.56,24.02,59.16,38.36
191.31,0.21,0.48,9.14,52.17,93.0,21.5,18.92,23.70,61.66,44.63
191.35,0.15,-0.04,9.14,52.17,93.0,21.5,18.80,23.70,59.16,45.88
191.39,0.12,-0.44,9.16,52.17,93.0,21.5,18.45,23.70,56.66,47.13
191.43,0.19,-1.21,9.21,52.17,93.0,21.5,18.45,23.70,55.41,45.88
191.47,0.20,-1.59,9.22,52.17,93.0,21.5,18.80,24.18,46.66,43.37
191.51,0.23,-2.25,9.26,52.17,93.0,21.5,18.56,23.54,36.66,40.87
191.55,0.18,-1.27,9.25,52.17,93.0,21.5,18.68,23.70,27.92,34.60
191.59,0.16,-1.69,9.22,52.17,93.0,21.5,18.56,23.86,10.42,23.32
191.63,0.23,-2.14,9.40,52.17,93.0,21.5,18.68,23.70,2.92,18.30
191.67,0.21,-1.17,9.28,52.17,93.0,21.5,18.68,24.02,-15.82,4.51
191.71,0.12,-1.25,9.17,52.17,93.0,21.5,18.68,23.70,-27.07,-14.29
191.75,0.23,-1.24,9.21,52.17,93.0,21.5,18.92,23.70,-44.56,-23.06
191.79,0.26,-0.78,9.19,52.17,93.0,21.5,18.56,24.02,-60.81,-39.36
191.83,0.15,0.07,9.19,52.17,93.0,21.5,18.56,24.02,-65.81,-45.63
191.87,0.14,0.60,9.10,52.17,93.0,21.5,18.56,23.86,-74.55,-60.67
191.91,0.07,0.85,9.15,52.17,93.0,21.5,18.80,23.86,-77.05,-69.45
191.95,0.19,1.41,9.11,52.17,93.0,21.5,18.68,23.70,-77.05,-71.95
191.99,0.22,2.12,9.11,52.17,93.0,21.5,18.68,23.86,-69.56,-66.94
192.03,0.13,3.06,9.15,52.17,93.0,21.5,18.45,23.70,-62.06,-63.18
192.07,0.08,3.96,9.16,52.17,93.0,21.5,18.56,23.86,-47.06,-46.88
192.11,0.09,3.46,9.21,52.17,93.0,21.5,18.68,23.70,-37.06,-33.09
192.15,0.14,4.12,9.23,52.17,93.0,21.5,18.80,24.02,-18.32,-24.32
192.19,0.20,4.01,9.15,52.17,93.0,21.5,18.56,23.86,2.92,-11.78
192.23,0.10,3.65,9.29,52.17,93.0,21.5,18.56,23.86,11.67,-5.52
192.27,0.14,3.45,9.22,52.17,93.0,21.5,18.21,24.02,29.17,9.53
192.31,0.20,2.45,9.15,52.17,93.0,21.5,18.68,24.18,36.66,22.06
192.35,0.17,2.48,9.09,52.17,93.0,21.5,18.33,24.02,51.66,28.33
192.39,-0.00,1.99,9.18,52.17,93.0,21.5,18.56,24.18,52.91,35.85
192.43,0.09,1.00,9.17,52.17,93.0,21.5,18.56,24.02,60.41,40.87
192.47,0.25,0.30,9.13,52.17,93.0,21.5,18.45,23.86,60.41,44.63
192.51,0.15,0.01,9.14,52.17,93.0,21.5,18.45,23.70,61.66,48.39
192.55,0.13,-0.72,9.17,52.17,93.0,21.5,18.80,23.86,56.66,48.39
192.59,0.24,-2.02,9.28,52.17,93.0,21.5,18.92,23.86,52.91,44.63
192.63,0.21,-1.29,9.21,52.17,93.0,21.5,18.56,23.86,45.41,45.88
192.67,0.15,-1.94,9.27,52.17,93.0,21.5,18.33,23.86,32.91,39.61
192.71,0.20,-1.60,9.28,52.17,93.0,21.5,18.56,23.54,24.17,30.84
192.75,0.22,-1.51,9.24,52.17,93.0,21.5,18.21,23.86,6.67,24.57
192.79,0.23,-1.98,9.36,52.17,93.0,21.5,18.68,22.92,-0.83,9.53
192.83,0.22,-1.31,9.23,52.17,93.0,21.5,18.56,24.02,-22.07,2.01
192.87,0.11,-1.07,9.23,52.17,93.0,21.5,18.21,24.02,-29.57,-13.04
