Time (s),Accel_x (m/s2),Accel_y (m/s2),Accel_z (m/s2),RPM,Humidity (percentage),Amb_Temp (C),Water_Temp (C),Motor_Temp (C),Height 1 (mm),Height 2 (mm)
28.77,0.18,-0.24,9.35,0.00,93.0,19.8,17.01,37.96,6.85,-9.28
28.81,0.15,-0.44,9.39,0.00,93.0,19.8,16.41,38.23,9.35,-11.78
28.85,0.21,-0.62,9.37,0.00,93.0,19.8,16.89,38.23,9.35,-13.04
28.89,0.21,-0.33,9.35,0.00,93.0,19.8,16.89,37.96,11.85,-16.80
28.93,0.18,-0.17,9.32,0.00,93.0,19.8,17.01,38.23,14.35,-16.80
28.97,0.21,-0.25,9.29,0.00,93.0,19.8,17.01,37.96,15.60,-20.56
29.01,0.17,-0.20,9.30,0.00,93.0,19.8,17.01,38.50,16.85,-23.07
29.05,0.14,-0.06,9.26,0.00,93.0,19.8,16.65,38.23,19.34,-23.07
29.09,0.19,-0.08,9.26,0.00,93.0,19.8,16.89,38.23,19.34,-23.07
29.13,0.18,-0.03,9.28,0.00,93.0,19.8,16.77,38.50,20.59,-23.07
29.17,0.17,0.24,9.27,0.00,93.0,19.8,16.89,38.23,18.09,-21.81
29.21,0.24,0.17,9.28,0.00,93.0,19.8,17.13,38.23,18.09,-18.05
29.25,0.12,0.56,9.30,0.00,93.0,19.8,16.77,38.23,15.60,-18.05
29.29,0.17,0.56,9.26,0.00,93.0,19.8,16.89,38.23,15.60,-14.29
29.33,0.18,0.43,9.28,0.00,93.0,19.8,16.89,38.50,14.35,-11.78
29.37,0.16,0.78,9.25,0.00,93.0,19.8,16.89,38.23,13.10,-10.53
29.41,0.18,0.93,9.23,0.00,93.0,19.8,16.89,38.50,11.85,-6.77
29.45,0.15,1.17,9.21,0.00,93.0,19.8,17.13,38.23,8.10,-5.52
29.49,0.19,1.12,9.27,0.00,93.0,19.8,17.01,38.23,6.85,-0.50
29.53,0.15,1.28,9.23,0.00,93.0,19.8,17.01,37.96,4.35,2.01
29.57,0.17,1.64,9.17,0.00,93.0,19.8,16.65,38.23,1.85,5.77
29.61,0.17,1.70,9.30,0.00,93.0,19.8,17.13,38.23,-0.65,8.27
29.65,0.19,1.90,9.25,0.00,93.0,19.8,16.89,38.23,-4.40,9.53
29.69,0.17,1.87,9.29,0.00,93.0,19.8,17.13,37.96,-5.65,13.29
29.73,0.14,2.00,9.34,0.00,93.0,19.8,16.89,38.23,-8.15,14.54
29.77,0.13,2.15,9.29,0.00,93.0,19.8,16.89,37.96,-13.15,17.05
29.81,0.17,2.14,9.27,0.00,93.0,19.8,17.01,38.23,-13.15,19.56
29.85,0.15,2.20,9.28,0.00,93.0,19.8,16.89,38.23,-15.65,22.06
29.89,0.12,2.13,9.32,0.00,93.0,19.8,17.13,38.23,-18.14,23.32
29.93,0.17,2.13,9.26,0.00,93.0,19.8,16.89,38.23,-21.89,24.57
29.97,0.12,2.15,9.26,0.00,93.0,19.8,17.01,37.96,-21.89,25.82
30.01,0.15,2.00,9.27,0.00,93.0,19.8,16.89,37.96,-25.64,24.57
30.05,0.20,1.85,9.23,0.00,93.0,19.8,16.89,38.23,-28.14,24.57
30.09,0.14,1.83,9.17,0.00,93.0,19.8,16.65,38.23,-26.89,24.57
30.13,0.17,1.61,9.21,0.00,93.0,19.8,16.77,38.23,-28.14,23.32
30.17,0.17,1.62,9.19,0.00,93.0,19.8,17.13,38.50,-26.89,22.06
30.21,0.16,1.55,9.22,0.00,93.0,19.8,17.25,37.96,-26.89,20.81
30.25,0.23,1.39,9.06,0.00,93.0,19.8,16.77,38.23,-19.39,20.81
30.29,0.22,1.31,9.02,0.00,93.0,19.8,17.01,38.50,-24.39,23.32
30.33,0.20,0.98,9.03,0.00,93.0,19.8,16.77,38.50,-21.89,15.79
30.37,0.14,1.27,9.03,0.00,93.0,19.8,17.13,37.96,-20.64,13.29
30.41,0.09,0.95,9.11,0.00,93.0,19.8,16.89,37.96,-16.90,13.29
30.45,0.20,0.23,9.21,0.00,93.0,19.8,16.77,38.23,-15.65,9.53
30.49,0.24,0.13,9.17,0.00,93.0,19.8,17.01,37.96,-11.90,9.53
30.53,0.18,0.23,9.14,0.00,93.0,19.8,17.01,37.96,-5.65,7.02
30.57,0.13,0.06,9.42,0.00,93.0,19.8,17.01,38.23,-4.40,3.26
30.61,0.11,-0.35,9.50,0.00,93.0,19.8,16.89,38.23,-1.90,0.75
30.65,0.21,-0.40,9.46,0.00,93.0,19.8,16.89,38.23,0.60,-1.75
30.69,0.19,-0.65,9.39,0.00,93.0,19.8,16.89,38.23,3.10,-4.26
30.73,0.21,-0.29,9.37,0.00,93.0,19.8,16.53,38.50,4.35,-6.77
30.77,0.13,-0.13,9.33,0.00,93.0,19.8,16.89,38.23,6.85,-9.28
30.81,0.17,-0.53,9.42,0.00,93.0,19.8,17.25,37.96,10.60,-10.53
30.85,0.23,-0.47,9.35,0.00,93.0,19.8,16.77,37.96,9.35,-13.04
30.89,0.16,-0.37,9.37,0.00,93.0,19.8,17.13,38.50,10.60,-15.54
30.93,0.17,-0.34,9.35,0.00,93.0,19.8,16.77,38.23,11.85,-18.05
30.97,0.17,-0.19,9.30,0.00,93.0,19.8,17.01,38.23,14.35,-19.30
31.01,0.20,-0.17,9.31,0.00,93.0,19.8,17.01,37.96,15.60,-21.81
31.05,0.21,-0.31,9.31,0.00,93.0,19.8,16.77,38.23,18.09,-21.81
31.09,0.14,-0.05,9.33,0.00,93.0,19.8,16.89,37.96,18.09,-23.07
31.13,0.15,-0.02,9.32,0.00,93.0,19.8,16.77,38.50,19.34,-21.81
31.17,0.22,0.01,9.26,0.00,93.0,19.8,16.65,38.50,16.85,-21.81
31.21,0.20,0.22,9.27,0.00,93.0,19.8,17.25,37.96,18.09,-20.56
31.25,0.18,0.28,9.29,0.00,93.0,19.8,16.65,38.50,16.85,-16.80
31.29,0.15,0.58,9.27,0.00,93.0,19.8,16.89,37.69,15.60,-16.80
31.33,0.15,0.44,9.27,0.00,93.0,19.8,16.77,38.23,14.35,-14.29
31.37,0.18,0.62,9.22,0.00,93.0,19.8,17.01,38.23,13.10,-11.78
31.41,0.15,0.91,9.20,0.00,93.0,19.8,17.01,38.23,10.60,-10.53
31.45,0.16,1.01,9.25,0.00,93.0,19.8,17.13,38.23,9.35,-6.77
31.49,0.17,1.26,9.23,0.00,93.0,19.8,17.01,37.96,8.10,-4.26
31.53,0.19,1.31,9.21,0.00,93.0,19.8,16.89,37.96,5.60,0.75
31.57,0.17,1.46,9.19,0.00,93.0,19.8,16.89,38.50,1.85,3.26
31.61,0.15,1.89,9.19,0.00,93.0,19.8,17.01,38.50,0.60,5.77
31.65,0.14,1.58,9.23,0.00,93.0,19.8,16.53,37.96,-3.15,7.02
31.69,0.15,1.90,9.20,0.00,93.0,19.8,16.89,38.23,-5.65,10.78
31.73,0.16,2.10,9.23,0.00,93.0,19.8,17.01,38.23,-8.15,14.54
31.77,0.16,1.97,9.31,0.00,93.0,19.8,16.77,37.96,-9.40,15.79
31.81,0.15,2.15,9.32,0.00,93.0,19.8,16.65,38.23,-11.90,19.56
31.85,0.11,2.22,9.30,0.00,93.0,19.8,17.01,38.50,-15.65,22.06
31.89,0.16,2.08,9.25,0.00,93.0,19.8,17.25,37.96,-16.90,22.06
31.93,0.17,2.23,9.28,0.00,93.0,19.8,16.77,38.23,-20.64,24.57
31.97,0.12,2.21,9.23,0.00,93.0,19.8,16.77,38.23,-21.89,25.82
32.01,0.17,2.06,9.22,0.00,93.0,19.8,16.77,38.23,-25.64,24.57
32.05,0.17,2.03,9.23,0.00,93.0,19.8,17.13,38.23,-25.64,24.57
32.09,0.14,1.81,9.27,0.00,93.0,19.8,17.13,38.23,-26.89,24.57
32.13,0.16,1.76,9.27,0.00,93.0,19.8,16.77,37.96,-28.14,23.32
32.17,0.11,1.61,9.22,0.00,93.0,19.8,16.89,37.96,-26.89,22.06
32.21,0.16,1.65,9.17,0.00,93.0,19.8,17.01,37.96,-26.89,19.56
32.25,0.10,1.51,9.12,0.00,93.0,19.8,16.77,37.96,-24.39,20.81
32.29,0.15,1.12,9.23,0.00,93.0,19.8,17.13,37.96,-24.39,18.30
32.33,0.24,0.96,9.14,0.00,93.0,19.8,17.13,38.23,-23.14,15.79
32.37,0.17,0.57,9.47,0.00,93.0,19.8,17.25,37.96,-21.89,14.54
32.41,0.18,0.82,9.45,0.00,93.0,19.8,16.89,37.96,-18.14,12.03
32.45,0.18,0.38,9.61,0.00,93.0,19.8,17.01,37.69,-16.90,10.78
32.49,0.21,-0.09,9.42,0.00,93.0,19.8,17.01,38.23,-11.90,9.53
32.53,0.25,0.25,9.15,0.00,93.0,19.8,16.77,38.23,-10.65,9.53
32.57,0.18,0.19,9.39,0.00,93.0,19.8,16.89,38.23,-6.90,3.26
32.61,0.13,0.00,9.30,0.00,93.0,19.8,17.01,37.96,-1.90,2.01
32.65,0.14,0.14,9.06,0.00,93.0,19.8,17.13,37.96,-0.65,0.75
32.69,0.20,-0.44,9.17,0.00,93.0,19.8,16.77,38.23,1.85,-4.26
32.73,0.18,-0.01,9.19,0.00,93.0,19.8,16.77,38.50,3.10,-5.52
32.77,0.20,-0.14,9.21,0.00,93.0,19.8,17.01,37.96,5.60,-9.28
32.81,0.19,-0.33,9.32,0.00,93.0,19.8,16.65,38.23,6.85,-10.53
32.85,0.17,-0.29,9.39,0.00,93.0,19.8,17.01,38.23,8.10,-13.04
32.89,0.19,-0.49,9.28,0.00,93.0,19.8,16.77,38.23,9.35,-14.29
32.93,0.23,-0.30,9.26,0.00,93.0,19.8,16.77,38.23,11.85,-15.54
32.97,0.17,-0.17,9.30,0.00,93.0,19.8,17.49,38.23,13.10,-19.30
33.01,0.20,-0.27,9.32,0.00,93.0,19.8,17.01,37.96,14.35,-20.56
33.05,0.18,-0.31,9.37,0.00,93.0,19.8,16.89,37.96,18.09,-21.81
33.09,0.15,-0.10,9.35,0.00,93.0,19.8,16.89,38.23,16.85,-24.32
33.13,0.20,-0.10,9.31,0.00,93.0,19.8,16.65,37.96,19.34,-24.32
33.17,0.19,-0.20,9.38,0.00,93.0,19.8,17.01,37.96,19.34,-21.81
33.21,0.15,0.14,9.29,0.00,93.0,19.8,16.89,38.23,18.09,-23.07
33.25,0.20,0.18,9.31,0.00,93.0,19.8,16.77,38.23,16.85,-19.30
33.29,0.18,0.41,9.28,0.00,93.0,19.8,16.77,37.96,18.09,-16.80
33.33,0.22,0.60,9.30,0.00,93.0,19.8,16.89,37.96,16.85,-14.29
33.37,0.20,0.44,9.25,0.00,93.0,19.8,17.01,37.96,14.35,-11.78
33.41,0.17,0.74,9.26,0.00,93.0,19.8,16.77,38.23,13.10,-10.53
33.45,0.19,1.00,9.26,0.00,93.0,19.8,16.65,38.23,10.60,-6.77
33.49,0.16,1.06,9.29,0.00,93.0,19.8,16.89,38.23,8.10,-5.52
33.53,0.14,1.13,9.31,0.00,93.0,19.8,16.65,37.96,5.60,-0.50
33.57,0.15,1.26,9.27,0.00,93.0,19.8,16.65,38.50,3.10,2.01
33.61,0.14,1.55,9.22,0.00,93.0,19.8,17.01,37.69,0.60,4.51
33.65,0.15,1.74,9.25,0.00,93.0,19.8,17.01,37.96,-1.90,7.02
33.69,0.18,1.94,9.18,0.00,93.0,19.8,16.89,38.50,-3.15,10.78
33.73,0.19,1.92,9.24,0.00,93.0,19.8,17.01,37.96,-6.90,13.29
33.77,0.16,1.99,9.34,0.00,93.0,19.8,16.89,37.96,-8.15,17.05
33.81,0.11,2.09,9.33,0.00,93.0,19.8,16.89,37.96,-10.65,17.05
33.85,0.14,2.11,9.30,0.00,93.0,19.8,16.77,37.96,-14.40,19.56
33.89,0.14,2.22,9.25,0.00,93.0,19.8,17.01,37.96,-16.90,20.81
33.93,0.15,2.22,9.22,0.00,93.0,19.8,17.01,37.96,-19.39,22.06
33.97,0.18,2.17,9.23,0.00,93.0,19.8,17.01,38.23,-21.89,24.57
34.01,0.15,2.15,9.28,0.00,93.0,19.8,17.13,38.23,-23.14,24.57
34.05,0.13,2.06,9.26,0.00,93.0,19.8,16.89,38.50,-25.64,24.57
34.09,0.18,1.83,9.25,0.00,93.0,19.8,17.13,38.23,-25.64,24.57
34.13,0.13,1.75,9.28,0.00,93.0,19.8,16.77,37.69,-28.14,23.32
34.17,0.12,1.60,9.32,0.00,93.0,19.8,17.01,37.96,-26.89,20.81
34.21,0.13,1.52,9.23,0.00,93.0,19.8,17.01,37.96,-25.64,22.06
34.25,0.12,1.64,9.19,0.00,93.0,19.8,17.13,37.96,-25.64,19.56
34.29,0.16,1.15,9.31,0.00,93.0,19.8,17.01,38.23,-25.64,19.56
34.33,0.19,0.96,9.40,0.00,93.0,19.8,16.89,37.96,-24.39,17.05
34.37,0.16,0.60,9.51,0.00,93.0,19.8,17.25,38.23,-23.14,15.79
34.41,0.11,1.02,9.41,0.00,93.0,19.8,16.89,37.69,-20.64,13.29
34.45,0.13,0.92,9.25,0.00,93.0,19.8,17.01,37.96,-18.14,10.78
34.49,0.26,0.57,9.02,0.00,93.0,19.8,16.77,37.69,-14.40,10.78
34.53,0.25,0.03,9.24,0.00,93.0,19.8,17.01,38.23,-10.65,9.53
34.57,0.18,0.49,9.13,0.00,93.0,19.8,17.13,38.23,-6.90,7.02
34.61,0.16,0.44,9.08,0.00,93.0,19.8,16.89,38.23,-4.40,3.26
34.65,0.13,-0.24,9.24,0.00,93.0,19.8,17.13,37.96,0.60,2.01
34.69,0.22,-0.05,9.16,0.00,93.0,19.8,16.77,38.23,0.60,-1.75
34.73,0.21,-0.43,9.24,0.00,93.0,19.8,16.77,37.96,3.10,-5.52
34.77,0.16,-0.20,9.20,0.00,93.0,19.8,17.01,37.96,4.35,-6.77
34.81,0.18,-0.05,9.20,0.00,93.0,19.8,17.01,37.96,5.60,-10.53
34.85,0.18,-0.36,9.22,0.00,93.0,19.8,16.89,38.23,6.85,-11.78
34.89,0.20,-0.49,9.33,0.00,93.0,19.8,17.01,38.50,10.60,-13.04
34.93,0.12,-0.37,9.38,0.00,93.0,19.8,17.01,38.23,10.60,-16.80
34.97,0.18,-0.41,9.44,0.00,93.0,19.8,16.77,38.23,13.10,-18.05
35.01,0.18,-0.29,9.39,0.00,93.0,19.8,17.01,38.23,14.35,-19.30
35.05,0.17,-0.21,9.34,0.00,93.0,19.8,17.01,38.23,15.60,-21.81
35.09,0.21,-0.29,9.36,0.00,93.0,19.8,17.01,37.96,16.85,-23.07
35.13,0.12,-0.04,9.30,0.00,93.0,19.8,16.89,37.96,18.09,-24.32
35.17,0.18,0.02,9.22,0.00,93.0,19.8,17.25,38.23,18.09,-23.07
35.21,0.22,0.08,9.28,0.00,93.0,19.8,16.53,38.23,18.09,-20.56
35.25,0.21,0.23,9.28,0.00,93.0,19.8,17.61,37.96,18.09,-19.30
35.29,0.17,0.28,9.28,0.00,93.0,19.8,16.89,38.23,16.85,-19.30
35.33,0.18,0.60,9.29,0.00,93.0,19.8,16.89,38.50,15.60,-15.54
35.37,0.18,0.55,9.27,0.00,93.0,19.8,17.13,38.23,14.35,-14.29
35.41,0.24,0.52,9.24,0.00,93.0,19.8,16.77,38.23,14.35,-10.53
35.45,0.11,0.93,9.26,0.00,93.0,19.8,17.13,38.23,11.85,-9.28
35.49,0.12,1.00,9.22,0.00,93.0,19.8,16.89,37.96,10.60,-4.26
35.53,0.19,1.19,9.22,0.00,93.0,19.8,16.89,37.96,8.10,-3.01
35.57,0.16,1.29,9.20,0.00,93.0,19.8,17.01,38.23,4.35,0.75
35.61,0.15,1.48,9.21,0.00,93.0,19.8,16.89,38.23,1.85,3.26
35.65,0.13,1.84,9.20,0.00,93.0,19.8,17.01,37.96,-1.90,4.51
35.69,0.16,1.63,9.30,0.00,93.0,19.8,17.01,38.50,-1.90,9.53
35.73,0.13,1.82,9.30,0.00,93.0,19.8,17.13,37.96,-4.40,10.78
35.77,0.12,2.08,9.23,0.00,93.0,19.8,17.01,38.23,-6.90,14.54
35.81,0.20,2.10,9.17,0.00,93.0,19.8,16.89,38.23,-11.90,17.05
35.85,0.15,2.22,9.19,0.00,93.0,19.8,17.25,38.23,-11.90,18.30
35.89,0.09,2.29,9.16,0.00,93.0,19.8,16.89,38.23,-14.40,22.06
35.93,0.19,2.18,9.20,0.00,93.0,19.8,17.01,38.50,-18.14,22.06
35.97,0.16,2.27,9.23,0.00,93.0,19.8,16.53,37.96,-18.14,24.57
36.01,0.12,2.23,9.23,0.00,93.0,19.8,17.13,37.96,-21.89,24.57
36.05,0.15,2.01,9.29,0.00,93.0,19.8,17.13,38.23,-23.14,25.82
36.09,0.14,1.95,9.28,0.00,93.0,19.8,16.89,37.96,-26.89,24.57
36.13,0.18,1.73,9.20,0.00,93.0,19.8,16.77,38.23,-28.14,23.32
36.17,0.16,1.83,9.16,0.00,93.0,19.8,17.25,37.96,-28.14,23.32
36.21,0.13,1.59,9.22,0.00,93.0,19.8,17.13,38.23,-28.14,22.06
36.25,0.16,1.56,9.24,0.00,93.0,19.8,17.13,38.23,-26.89,20.81
36.29,0.14,1.50,9.14,0.00,93.0,19.8,17.01,38.23,-25.64,19.56
36.33,0.20,0.95,9.08,0.00,93.0,19.8,17.13,38.23,-24.39,19.56
36.37,0.22,1.08,9.08,0.00,93.0,19.8,17.01,38.23,-24.39,15.79
36.41,0.20,0.96,9.05,0.00,93.0,19.8,17.13,38.23,-21.89,15.79
36.45,0.20,1.06,8.94,0.00,93.0,19.8,17.01,38.23,-19.39,14.54
36.49,0.17,0.83,9.19,0.00,93.0,19.8,16.77,37.96,-14.40,12.03
36.53,0.22,0.04,9.19,0.00,93.0,19.8,16.77,38.23,-13.15,9.53
36.57,0.23,0.46,8.94,0.00,93.0,19.8,16.89,38.23,-9.40,7.02
36.61,0.22,0.33,9.37,0.00,93.0,19.8,16.77,37.69,-6.90,4.51
36.65,0.15,0.02,9.31,0.00,93.0,19.8,16.89,38.23,-3.15,3.26
36.69,0.13,-0.06,9.20,0.00,93.0,19.8,16.89,38.23,0.60,0.75
36.73,0.19,-0.46,9.18,0.00,93.0,19.8,17.01,37.96,1.85,-1.75
36.77,0.20,-0.20,9.23,0.00,93.0,19.8,17.25,37.96,4.35,-6.77
36.81,0.16,-0.13,9.23,0.00,93.0,19.8,17.01,37.69,4.35,-6.77
36.85,0.20,-0.37,9.38,0.00,93.0,19.8,17.13,38.23,6.85,-11.78
36.89,0.17,-0.14,9.24,0.00,93.0,19.8,16.77,38.23,16.85,-11.78
36.93,0.21,-0.51,9.26,0.00,93.0,19.8,17.01,38.23,9.35,-16.80
36.97,0.21,-0.26,9.35,0.00,93.0,19.8,17.01,37.96,11.85,-18.05
37.01,0.15,-0.16,9.32,0.00,93.0,19.8,17.01,38.23,13.10,-18.05
37.05,0.18,-0.26,9.30,0.00,93.0,19.8,16.89,37.96,16.85,-21.81
37.09,0.20,-0.25,9.30,0.00,93.0,19.8,16.89,37.96,16.85,-20.56
37.13,0.14,-0.10,9.32,0.00,93.0,19.8,16.89,38.50,18.09,-21.81
37.17,0.18,-0.03,9.34,0.00,93.0,19.8,16.77,38.50,19.34,-23.07
37.21,0.18,-0.14,9.39,0.00,93.0,19.8,16.89,38.50,18.09,-23.07
37.25,0.14,0.16,9.31,0.00,93.0,19.8,16.89,38.50,18.09,-20.56
37.29,0.21,0.28,9.26,0.00,93.0,19.8,16.89,38.23,16.85,-20.56
37.33,0.13,0.43,9.30,0.00,93.0,19.8,17.01,38.23,15.60,-18.05
37.37,0.17,0.52,9.24,0.00,93.0,19.8,16.89,38.23,16.85,-15.54
37.41,0.15,0.40,9.31,0.00,93.0,19.8,17.01,37.69,14.35,-13.04
37.45,0.14,0.66,9.25,0.00,93.0,19.8,16.89,38.23,10.60,-10.53
37.49,0.17,1.03,9.22,0.00,93.0,19.8,17.01,38.23,10.60,-6.77
37.53,0.18,1.08,9.20,0.00,93.0,19.8,17.13,37.96,8.10,-4.26
37.57,0.19,1.22,9.21,0.00,93.0,19.8,16.89,37.96,6.85,-1.75
37.61,0.19,1.38,9.22,0.00,93.0,19.8,16.89,37.96,3.10,2.01
37.65,0.19,1.57,9.19,0.00,93.0,19.8,16.77,37.96,1.85,5.77
37.69,0.16,1.75,9.22,0.00,93.0,19.8,16.65,38.23,-0.65,7.02
37.73,0.18,1.94,9.22,0.00,93.0,19.8,16.89,38.50,-5.65,10.78
37.77,0.17,1.93,9.23,0.00,93.0,19.8,16.89,37.96,-6.90,13.29
37.81,0.16,2.09,9.31,0.00,93.0,19.8,16.89,38.23,-9.40,18.30
37.85,0.09,2.11,9.35,0.00,93.0,19.8,17.13,38.50,-11.90,17.05
37.89,0.14,2.08,9.29,0.00,93.0,19.8,17.01,38.23,-14.40,20.81
37.93,0.17,2.20,9.24,0.00,93.0,19.8,16.89,38.23,-18.14,22.06
37.97,0.16,2.21,9.26,0.00,93.0,19.8,16.89,37.69,-19.39,23.32
38.01,0.18,2.15,9.23,0.00,93.0,19.8,16.89,37.96,-21.89,24.57
38.05,0.17,2.17,9.21,0.00,93.0,19.8,16.89,38.23,-23.14,25.82
38.09,0.14,2.10,9.23,0.00,93.0,19.8,16.77,38.50,-25.64,25.82
38.13,0.20,1.83,9.22,0.00,93.0,19.8,17.01,38.23,-25.64,25.82
38.17,0.12,1.79,9.27,0.00,93.0,19.8,16.89,38.23,-26.89,25.82
38.21,0.17,1.68,9.27,0.00,93.0,19.8,16.89,38.23,-28.14,23.32
38.25,0.16,1.48,9.26,0.00,93.0,19.8,16.89,37.96,-26.89,23.32
38.29,0.15,1.58,9.26,0.00,93.0,19.8,16.53,38.50,-24.39,20.81
38.33,0.19,1.14,9.22,0.00,93.0,19.8,16.53,38.23,-25.64,20.81
38.37,0.22,0.86,9.22,0.00,93.0,19.8,16.89,37.96,-23.14,19.56
38.41,0.15,0.62,9.37,0.00,93.0,19.8,16.89,38.23,-21.89,17.05
38.45,0.09,0.80,9.62,0.00,93.0,19.8,16.89,37.96,-20.64,14.54
38.49,0.13,0.63,9.45,0.00,93.0,19.8,16.89,37.96,-16.90,12.03
38.53,0.22,0.51,9.16,0.00,93.0,19.8,17.01,38.50,-15.65,10.78
38.57,0.21,-0.39,9.57,0.00,93.0,19.8,16.77,38.23,-9.40,8.27
38.61,0.13,0.22,9.41,0.00,93.0,19.8,17.01,38.23,-8.15,5.77
38.65,0.19,0.32,9.33,0.00,93.0,19.8,16.89,36.90,-3.15,3.26
38.69,0.18,-0.27,9.23,0.00,93.0,19.8,16.77,38.23,-0.65,2.01
38.73,0.17,-0.20,9.33,0.00,93.0,19.8,16.89,37.96,1.85,-0.50
