Time (s),Accel_x (m2/s),Accel_y (m2/s),Accel_z (m2/s),RPM,Humidity (percentage),Amb_Temp (C),Water_Temp (C),Motor_Temp (C),Height 1 (mm),Height 2 (mm)
123.35,0.11,4.14,8.91,47.83,95.0,22.0,18.56,38.50,33.35,12.24
123.39,0.24,4.81,8.80,47.83,95.0,22.0,18.68,37.96,38.37,27.82
123.43,0.03,5.68,8.91,47.83,95.0,22.0,18.45,38.50,43.40,42.11
123.47,0.02,5.18,8.98,47.83,95.0,22.0,18.45,38.23,44.65,43.41
123.51,0.36,4.60,8.85,47.83,95.0,22.0,18.68,38.50,42.14,55.10
123.55,0.06,4.71,8.93,47.83,95.0,22.0,18.45,38.23,42.14,57.69
123.59,0.14,4.42,8.97,47.83,95.0,22.0,18.56,38.23,37.12,60.29
123.63,0.19,3.95,8.92,47.83,95.0,22.0,18.68,38.50,30.84,60.29
123.67,0.22,2.72,8.82,47.83,95.0,22.0,18.45,38.50,27.07,57.69
123.71,0.34,2.10,8.93,47.83,95.0,22.0,18.80,38.23,19.54,53.80
123.75,0.23,1.88,9.01,47.83,95.0,22.0,18.56,38.77,17.02,52.50
123.79,0.22,1.23,8.96,47.83,95.0,22.0,18.45,38.50,10.74,52.50
123.83,0.40,0.09,9.02,47.83,95.0,22.0,18.56,38.50,8.23,53.80
123.87,0.43,-0.97,9.14,47.83,95.0,22.0,18.56,38.50,3.21,53.80
123.91,0.26,-0.63,9.24,47.83,95.0,22.0,18.68,38.50,-4.33,8.34
123.95,0.38,-1.68,9.30,47.83,95.0,22.0,18.92,38.23,-6.84,3.15
123.99,0.50,-1.85,9.34,47.83,95.0,22.0,18.68,38.50,-18.14,-16.33
124.03,0.28,-1.52,9.38,47.83,95.0,22.0,18.45,38.50,-28.19,-37.11
124.07,0.45,-2.40,9.40,47.83,95.0,22.0,18.45,38.50,-34.47,-43.60
124.11,0.39,-1.08,9.30,47.83,95.0,22.0,18.80,38.23,-45.77,-60.49
124.15,0.28,-1.32,9.33,47.83,95.0,22.0,20.79,38.23,-53.31,-68.28
124.19,0.49,-1.69,9.32,47.83,95.0,22.0,18.68,38.23,-60.84,-77.37
124.23,0.36,-0.95,9.23,47.83,95.0,22.0,18.68,35.65,-63.35,-79.97
124.27,0.30,-0.83,9.21,47.83,95.0,22.0,18.56,38.50,-63.35,-79.97
124.31,0.36,-0.16,9.17,47.83,95.0,22.0,18.80,38.50,-54.56,-73.47
124.35,0.28,0.03,9.17,47.83,95.0,22.0,18.68,38.50,-47.03,-69.58
124.39,0.37,0.05,9.02,47.83,95.0,22.0,18.56,38.23,-29.45,-57.89
124.43,0.37,0.95,8.96,47.83,95.0,22.0,18.56,38.50,-25.68,-42.31
124.47,0.17,2.08,8.98,47.83,95.0,22.0,18.56,36.90,-5.58,-33.22
124.51,0.27,2.51,8.99,47.83,95.0,22.0,18.33,38.77,13.26,-15.03
124.55,0.17,3.71,8.81,47.83,95.0,22.0,18.56,38.50,20.79,-5.94
124.59,0.18,3.70,8.89,47.83,95.0,22.0,18.56,38.23,30.84,13.54
124.63,0.11,4.54,8.97,47.83,95.0,22.0,18.68,38.50,37.12,30.42
124.67,0.00,5.50,8.86,47.83,95.0,22.0,18.45,38.50,42.14,27.82
124.71,0.23,5.16,8.85,47.83,95.0,22.0,19.39,38.50,43.40,44.71
124.75,0.18,5.09,8.93,47.83,95.0,22.0,18.56,38.50,40.89,48.60
124.79,0.06,4.21,9.08,47.83,95.0,22.0,18.45,38.50,39.63,57.69
124.83,0.22,4.60,8.96,47.83,95.0,22.0,18.68,38.50,37.12,60.29
124.87,0.11,4.15,8.94,47.83,95.0,22.0,18.45,43.28,32.09,58.99
124.91,0.28,3.11,8.88,47.83,95.0,22.0,18.56,38.50,24.56,57.69
124.95,0.25,2.47,8.89,47.83,95.0,22.0,17.85,38.23,24.56,56.39
124.99,0.17,1.90,8.95,47.83,95.0,22.0,18.56,38.23,15.77,53.80
125.03,0.30,1.65,8.95,47.83,95.0,22.0,18.68,38.23,14.51,51.20
125.07,0.32,0.40,9.06,47.83,95.0,22.0,19.15,38.50,8.23,43.41
125.11,0.27,-0.49,9.15,47.83,95.0,22.0,18.80,38.23,6.98,38.21
125.15,0.31,-1.08,9.14,47.83,95.0,22.0,18.45,38.23,-0.56,18.73
125.19,0.49,-1.97,9.27,47.83,95.0,22.0,18.56,38.50,-9.35,3.15
125.23,0.37,-0.85,9.22,47.83,95.0,22.0,18.68,37.96,-4.33,-15.03
125.27,0.36,-2.35,9.46,47.83,95.0,22.0,18.45,41.69,-24.42,-26.72
125.31,0.53,-1.87,9.31,47.83,95.0,22.0,18.80,38.23,-29.45,-41.01
125.35,0.30,-1.23,9.36,47.83,95.0,22.0,18.56,38.50,-40.75,-50.10
125.39,0.40,-1.79,9.36,47.83,95.0,22.0,18.68,38.23,-53.31,-66.98
125.43,0.45,-1.08,9.25,47.83,95.0,22.0,18.80,38.23,-55.82,-76.07
125.47,0.30,-1.29,9.24,47.83,95.0,22.0,18.56,38.50,-63.35,-78.67
125.51,0.46,-1.20,9.26,47.83,95.0,22.0,18.68,38.50,-63.35,-81.27
125.55,0.29,-0.10,9.18,47.83,95.0,22.0,18.68,38.50,-62.10,-76.07
125.59,0.27,-0.08,9.12,47.83,95.0,22.0,18.56,38.50,-47.03,-69.58
125.63,0.41,-0.01,9.13,47.83,95.0,22.0,18.56,38.23,-39.49,-56.59
125.67,0.26,0.57,9.06,47.83,95.0,22.0,16.77,38.23,-18.14,-48.80
125.71,0.29,1.26,8.92,47.83,95.0,22.0,18.80,38.23,-13.12,-33.22
125.75,0.28,2.55,8.91,47.83,95.0,22.0,18.80,38.23,4.46,-24.12
125.79,0.05,3.20,8.95,47.83,95.0,22.0,18.80,38.23,13.26,-24.12
125.83,0.31,3.27,8.87,47.83,95.0,22.0,19.27,38.50,27.07,-24.12
125.87,0.13,4.65,8.85,47.83,95.0,22.0,18.45,38.23,38.37,23.93
125.91,0.13,4.98,8.96,47.83,95.0,22.0,18.68,37.16,37.12,33.02
125.95,0.21,5.36,8.99,47.83,95.0,22.0,18.68,38.50,43.40,35.62
125.99,-0.00,5.21,8.88,47.83,95.0,22.0,18.45,38.50,40.89,47.30
126.03,0.24,4.38,8.95,47.83,95.0,22.0,18.33,38.50,39.63,53.80
126.07,0.18,4.90,8.89,47.83,95.0,22.0,18.45,38.50,37.12,56.39
126.11,0.10,4.48,8.89,47.83,95.0,22.0,18.56,38.50,34.61,58.99
126.15,0.29,3.52,8.87,47.83,95.0,22.0,18.45,38.50,28.33,60.29
126.19,0.20,2.38,8.98,47.83,95.0,22.0,18.56,38.23,25.81,57.69
126.23,0.29,2.14,8.97,47.83,95.0,22.0,18.68,38.50,18.28,49.90
126.27,0.30,1.74,8.96,47.83,95.0,22.0,18.45,38.50,12.00,51.20
126.31,0.27,0.71,9.01,47.83,95.0,22.0,18.68,38.50,9.49,51.20
126.35,0.32,-0.17,9.11,47.83,95.0,22.0,18.68,38.50,4.46,51.20
126.39,0.40,-0.96,9.21,47.83,95.0,22.0,18.68,38.23,1.95,51.20
126.43,0.42,-1.18,9.28,47.83,95.0,22.0,18.68,38.23,-5.58,1.85
126.47,0.29,-1.29,9.33,47.83,95.0,22.0,18.45,38.50,-16.89,-5.94
126.51,0.47,-2.37,9.39,47.83,95.0,22.0,18.68,38.50,-14.37,-24.12
126.55,0.40,-1.29,9.30,47.83,95.0,22.0,18.68,38.50,-29.45,-43.60
126.59,0.34,-2.09,9.41,47.83,95.0,22.0,18.21,38.50,-38.24,-47.50
126.63,0.44,-1.55,9.38,47.83,95.0,22.0,18.68,38.50,-47.03,-64.38
126.67,0.26,-0.91,9.31,47.83,95.0,22.0,18.45,38.50,-52.05,-69.58
126.71,0.45,-1.89,9.33,47.83,95.0,22.0,18.68,38.23,-58.33,-77.37
126.75,0.44,-0.93,9.25,47.83,95.0,22.0,18.45,38.50,-62.10,-79.97
126.79,0.23,-0.52,9.26,47.83,95.0,22.0,18.56,38.50,-62.10,-77.37
126.83,0.39,-0.42,9.15,47.83,95.0,22.0,18.56,38.50,-52.05,-68.28
126.87,0.33,0.26,9.02,47.83,95.0,22.0,18.56,38.23,-44.52,-65.68
126.91,0.32,0.39,9.00,47.83,95.0,22.0,18.68,38.50,-26.93,-51.40
126.95,0.38,1.03,9.04,47.83,95.0,22.0,18.56,38.50,-9.35,-44.90
126.99,0.12,2.25,8.94,47.83,95.0,22.0,18.56,38.50,-3.07,-22.83
127.03,0.21,2.80,8.89,47.83,95.0,22.0,18.68,38.23,14.51,-0.75
127.07,0.28,3.79,8.86,47.83,95.0,22.0,18.33,37.16,19.54,-2.05
127.11,0.11,3.97,8.99,47.83,95.0,22.0,18.80,38.23,30.84,16.14
127.15,0.17,4.70,8.87,47.83,95.0,22.0,18.68,38.23,42.14,25.23
127.19,-0.04,5.64,8.92,47.83,95.0,22.0,19.27,38.23,37.12,36.91
127.23,0.14,5.14,8.95,47.83,95.0,22.0,18.68,38.50,39.63,46.01
127.27,0.32,4.76,8.86,47.83,95.0,22.0,18.80,38.23,40.89,52.50
127.31,0.04,4.69,8.88,47.83,95.0,22.0,18.92,38.50,38.37,57.69
127.35,0.19,4.40,8.94,47.83,95.0,22.0,18.68,38.50,33.35,69.38
127.39,0.18,4.02,8.96,47.83,95.0,22.0,18.56,38.50,30.84,58.99
127.43,0.22,2.67,8.95,47.83,95.0,22.0,18.80,38.50,25.81,56.39
127.47,0.30,2.13,8.93,47.83,95.0,22.0,18.56,38.50,23.30,55.10
127.51,0.20,1.89,8.98,47.83,95.0,22.0,18.80,38.23,13.26,53.80
127.55,0.22,1.32,9.01,47.83,95.0,22.0,18.56,39.33,17.02,53.80
127.59,0.40,0.26,8.97,47.83,95.0,22.0,18.68,38.50,6.98,52.50
127.63,0.39,-0.91,9.17,47.83,95.0,22.0,18.68,38.50,1.95,53.80
127.67,0.28,-0.69,9.25,47.83,95.0,22.0,18.45,38.50,-0.56,17.43
127.71,0.36,-1.85,9.39,47.83,95.0,22.0,18.80,38.23,-8.09,-5.94
127.75,0.48,-1.63,9.33,47.83,95.0,22.0,18.56,38.50,-14.37,-21.53
127.79,0.28,-1.68,9.36,47.83,95.0,22.0,18.56,38.23,-26.93,-30.62
127.83,0.47,-2.33,9.44,47.83,95.0,22.0,18.68,38.77,-38.24,-51.40
127.87,0.41,-1.13,9.31,47.83,95.0,22.0,18.33,38.23,-43.26,-53.99
127.91,0.28,-1.40,9.33,47.83,95.0,22.0,18.68,38.50,-50.80,-66.98
127.95,0.50,-1.53,9.33,47.83,95.0,22.0,17.25,38.23,-57.07,-78.67
127.99,0.34,-1.09,9.29,47.83,95.0,22.0,18.45,38.50,-64.61,-79.97
128.03,0.33,-0.98,9.27,47.83,95.0,22.0,18.68,38.50,-65.87,-79.97
128.07,0.35,-0.02,9.17,47.83,95.0,22.0,18.68,38.50,-60.84,-74.77
128.11,0.28,0.04,9.16,47.83,95.0,22.0,18.68,38.50,-43.26,-68.28
128.15,0.38,-0.09,9.04,47.83,95.0,22.0,18.56,38.50,-35.72,-53.99
128.19,0.31,0.91,8.94,47.83,95.0,22.0,18.68,38.23,-21.91,-46.20
128.23,0.21,2.01,8.92,47.83,95.0,22.0,18.80,37.96,-23.17,-29.32
128.27,0.34,2.43,8.98,47.83,95.0,22.0,18.92,38.23,-23.17,-18.93
128.31,0.09,3.54,8.92,47.83,95.0,22.0,18.68,38.23,22.05,1.85
128.35,0.22,3.55,8.87,47.83,95.0,22.0,18.68,38.23,29.58,22.63
128.39,0.13,4.56,8.99,47.83,95.0,22.0,18.56,38.23,38.37,23.93
128.43,-0.00,5.35,8.94,47.83,95.0,22.0,18.68,38.23,42.14,36.91
128.47,0.26,5.23,8.83,47.83,95.0,22.0,18.45,38.50,40.89,42.11
128.51,0.16,5.07,8.96,47.83,95.0,22.0,18.80,38.50,40.89,47.30
128.55,0.03,4.19,9.09,47.83,95.0,22.0,18.68,38.23,38.37,55.10
128.59,0.26,4.83,8.90,47.83,95.0,22.0,18.68,38.23,34.61,57.69
128.63,0.09,4.19,8.91,47.83,95.0,22.0,18.68,37.96,32.09,60.29
128.67,0.27,3.16,8.92,47.83,95.0,22.0,17.85,38.50,27.07,58.99
128.71,0.19,2.42,9.02,47.83,95.0,22.0,18.80,38.50,19.54,56.39
128.75,0.13,1.95,8.99,47.83,95.0,22.0,18.33,38.23,18.28,52.50
128.79,0.32,1.69,8.96,47.83,95.0,22.0,18.56,38.23,12.00,52.50
128.83,0.34,0.42,9.02,47.83,95.0,22.0,18.92,38.50,12.00,53.80
128.87,0.28,-0.33,9.06,47.83,95.0,22.0,18.56,38.23,5.72,52.50
128.91,0.33,-0.98,9.10,47.83,95.0,22.0,18.68,38.50,-0.56,12.24
128.95,0.47,-1.92,9.31,47.83,95.0,22.0,18.56,38.23,-3.07,-0.75
128.99,0.34,-0.83,9.29,47.83,95.0,22.0,18.68,38.23,-13.12,-9.84
129.03,0.39,-2.43,9.39,47.83,95.0,22.0,18.92,38.23,-20.65,-30.62
129.07,0.47,-1.61,9.31,47.83,95.0,22.0,18.56,38.23,-30.70,-41.01
129.11,0.31,-1.34,9.35,47.83,95.0,22.0,18.68,40.19,-44.52,-57.89
129.15,0.42,-1.82,9.45,47.83,95.0,22.0,18.56,38.23,-48.28,-66.98
129.19,0.37,-0.93,9.32,47.83,95.0,22.0,16.29,38.50,-55.82,-73.47
129.23,0.33,-1.40,9.26,47.83,95.0,22.0,17.01,38.23,-60.84,-78.67
129.27,0.49,-1.17,9.22,47.83,95.0,22.0,18.45,38.50,-64.61,-79.97
129.31,0.27,-0.14,9.16,47.83,95.0,22.0,18.56,38.77,-62.10,-76.07
129.35,0.30,-0.23,9.15,47.83,95.0,22.0,18.56,38.50,-49.54,-65.68
129.39,0.40,0.12,9.11,47.83,95.0,22.0,18.68,37.96,-30.70,-60.49
129.43,0.28,0.53,9.06,47.83,95.0,22.0,18.45,39.05,-26.93,-48.80
129.47,0.29,1.17,8.94,47.83,95.0,22.0,18.45,36.39,-8.09,-41.01
129.51,0.28,2.49,8.87,47.83,95.0,22.0,18.56,38.50,0.70,-22.83
129.55,0.08,3.08,8.95,47.83,95.0,22.0,18.68,37.96,15.77,-2.05
129.59,0.29,3.24,8.97,47.83,95.0,22.0,18.56,38.50,27.07,5.75
129.63,0.13,4.44,8.86,47.83,95.0,22.0,18.45,38.50,33.35,21.33
129.67,0.20,5.01,8.87,47.83,95.0,22.0,18.56,38.50,40.89,27.82
129.71,0.10,5.47,8.94,47.83,95.0,22.0,18.68,38.50,42.14,35.62
129.75,0.02,5.26,8.85,47.83,95.0,22.0,18.56,37.96,43.40,49.90
129.79,0.29,4.26,8.95,47.83,95.0,22.0,18.68,38.23,47.17,51.20
129.83,0.10,4.91,9.00,47.83,95.0,22.0,15.07,38.23,34.61,57.69
129.87,0.12,4.47,8.91,47.83,95.0,22.0,18.33,38.23,33.35,60.29
129.91,0.27,3.61,8.87,47.83,95.0,22.0,18.56,38.50,28.33,61.59
129.95,0.16,2.42,8.96,47.83,95.0,22.0,18.68,38.23,22.05,57.69
129.99,0.31,2.10,8.99,47.83,95.0,22.0,14.82,38.50,15.77,56.39
130.03,0.25,1.91,8.98,47.83,95.0,22.0,18.80,38.23,14.51,53.80
130.07,0.25,0.82,8.94,47.83,95.0,22.0,17.01,38.50,13.26,46.01
130.11,0.36,-0.15,9.04,47.83,95.0,22.0,18.68,38.50,9.49,36.91
130.15,0.42,-0.87,9.12,47.83,95.0,22.0,18.68,38.23,1.95,16.14
130.19,0.38,-1.00,9.23,47.83,95.0,22.0,18.68,38.23,0.70,8.34
130.23,0.31,-1.39,9.25,47.83,95.0,22.0,18.56,38.50,-9.35,-7.24
130.27,0.48,-2.21,9.31,47.83,95.0,22.0,18.45,38.23,-20.65,-18.93
130.31,0.35,-1.25,9.34,47.83,95.0,22.0,18.68,38.50,-28.19,-39.71
130.35,0.33,-2.22,9.44,47.83,95.0,22.0,18.56,37.96,-35.72,-47.50
130.39,0.45,-1.46,9.36,47.83,95.0,22.0,18.68,38.23,-43.26,-59.19
130.43,0.28,-1.08,9.32,47.83,95.0,22.0,18.33,38.23,-54.56,-73.47
130.47,0.45,-1.87,9.27,47.83,95.0,22.0,18.45,38.50,-60.84,-73.47
130.51,0.43,-0.92,9.22,47.83,95.0,22.0,18.92,38.23,-63.35,-77.37
130.55,0.24,-0.66,9.24,47.83,95.0,22.0,18.56,37.69,-62.10,-76.07
130.59,0.35,-0.34,9.15,47.83,95.0,22.0,18.45,38.23,-55.82,-73.47
130.63,0.34,0.26,9.06,47.83,95.0,22.0,18.56,38.50,-42.00,-61.79
130.67,0.31,0.23,9.05,47.83,95.0,22.0,18.68,38.50,-23.17,-53.99
130.71,0.34,1.03,9.05,47.83,95.0,22.0,18.68,38.50,-16.89,-39.71
130.75,0.16,2.26,8.96,47.83,95.0,22.0,18.56,38.50,-0.56,-20.23
130.79,0.26,2.67,8.92,47.83,95.0,22.0,18.68,38.50,8.23,-12.44
130.83,0.20,3.82,8.88,47.83,95.0,22.0,18.80,38.50,23.30,1.85
130.87,0.19,3.88,8.94,47.83,95.0,22.0,18.56,38.23,25.81,10.94
130.91,0.18,4.63,8.89,47.83,95.0,22.0,18.68,38.50,38.37,23.93
130.95,-0.08,5.84,8.79,47.83,95.0,22.0,18.45,38.50,40.89,31.72
130.99,0.18,5.06,8.92,47.83,95.0,22.0,18.56,38.50,40.89,44.71
131.03,0.29,4.87,8.91,47.83,95.0,22.0,18.56,38.23,39.63,52.50
131.07,0.01,4.54,8.91,47.83,95.0,22.0,18.45,38.50,38.37,55.10
131.11,0.19,4.39,8.93,47.83,95.0,22.0,18.68,38.23,35.86,58.99
131.15,0.14,4.26,8.89,47.83,95.0,22.0,18.45,38.50,32.09,60.29
131.19,0.21,2.70,8.91,47.83,95.0,22.0,18.56,38.50,24.56,57.69
131.23,0.33,2.21,8.88,47.83,95.0,22.0,18.33,38.23,19.54,56.39
131.27,0.17,1.84,9.01,47.83,95.0,22.0,18.45,41.38,19.54,53.80
131.31,0.23,1.51,9.06,47.83,95.0,22.0,18.33,37.16,14.51,46.01
131.35,0.38,0.31,9.02,47.83,95.0,22.0,18.56,38.50,9.49,44.71
131.39,0.37,-0.84,9.10,47.83,95.0,22.0,18.56,38.23,4.46,27.82
131.43,0.28,-0.79,9.19,47.83,95.0,22.0,18.68,38.23,-3.07,10.94
131.47,0.40,-1.91,9.33,47.83,95.0,22.0,18.33,38.23,-6.84,1.85
131.51,0.45,-1.34,9.27,47.83,95.0,22.0,15.93,35.40,-16.89,-17.63
131.55,0.32,-1.98,9.44,47.83,95.0,22.0,18.56,38.23,-28.19,-29.32
131.59,0.51,-2.24,9.40,47.83,95.0,22.0,18.56,38.77,-34.47,-44.90
131.63,0.36,-1.05,9.31,47.83,95.0,22.0,18.56,38.50,-45.77,-59.19
131.67,0.29,-1.54,9.36,47.83,95.0,22.0,18.45,38.50,-52.05,-66.98
131.71,0.50,-1.52,9.36,47.83,95.0,22.0,18.80,37.96,-57.07,-76.07
131.75,0.33,-1.12,9.30,47.83,95.0,22.0,18.56,38.23,-60.84,-78.67
131.79,0.38,-1.08,9.21,47.83,95.0,22.0,18.56,38.23,-60.84,-78.67
131.83,0.37,0.03,9.14,47.83,95.0,22.0,18.56,38.23,-53.31,-72.18
131.87,0.23,0.05,9.18,47.83,95.0,22.0,18.45,38.23,-47.03,-65.68
131.91,0.41,-0.12,9.09,47.83,95.0,22.0,18.68,38.50,-33.21,-55.29
131.95,0.31,0.68,8.96,47.83,95.0,22.0,18.68,37.96,-21.91,-47.50
131.99,0.18,1.71,8.95,47.83,95.0,22.0,18.56,38.23,-5.58,-34.51
132.03,0.31,2.49,9.00,47.83,95.0,22.0,18.80,38.23,8.23,-16.33
132.07,0.13,3.37,8.82,47.83,95.0,22.0,18.45,38.23,19.54,-7.24
132.11,0.24,3.46,8.81,47.83,95.0,22.0,18.68,38.23,29.58,10.94
132.15,0.11,4.59,9.00,47.83,95.0,22.0,18.56,38.23,35.86,16.14
132.19,0.06,5.21,8.96,47.83,95.0,22.0,18.56,38.23,40.89,30.42
132.23,0.24,5.35,8.87,47.83,95.0,22.0,18.80,38.23,40.89,39.51
132.27,0.07,4.96,8.94,47.83,95.0,22.0,18.33,38.50,38.37,46.01
132.31,0.10,4.25,9.04,47.83,95.0,22.0,18.56,38.50,35.86,53.80
132.35,0.22,4.85,8.90,47.83,95.0,22.0,18.45,38.50,35.86,57.69
132.39,0.05,4.33,8.86,47.83,95.0,22.0,18.68,38.50,29.58,61.59
132.43,0.31,3.29,8.87,47.83,95.0,22.0,18.45,38.50,23.30,61.59
132.47,0.21,2.47,8.95,47.83,95.0,22.0,18.45,38.23,22.05,60.29
132.51,0.21,2.00,8.92,47.83,95.0,22.0,18.80,37.96,18.28,57.69
132.55,0.28,1.66,8.98,47.83,95.0,22.0,18.33,38.77,15.77,49.90
132.59,0.29,0.52,9.09,47.83,95.0,22.0,18.56,38.23,10.74,42.11
132.63,0.30,-0.39,9.22,47.83,95.0,22.0,18.56,34.68,9.49,30.42
132.67,0.32,-1.02,9.18,47.83,95.0,22.0,18.33,38.23,1.95,20.03
132.71,0.45,-1.83,9.29,47.83,95.0,22.0,18.45,38.50,-6.84,1.85
132.75,0.31,-0.95,9.33,47.83,95.0,22.0,18.45,38.50,-13.12,-8.54
132.79,0.43,-2.48,9.45,47.83,95.0,22.0,18.80,37.96,-21.91,-25.42
132.83,0.46,-1.56,9.34,47.83,95.0,22.0,18.56,38.50,-29.45,-44.90
132.87,0.27,-1.57,9.36,47.83,95.0,22.0,18.56,38.50,-40.75,-52.70
132.91,0.42,-1.73,9.35,47.83,95.0,22.0,18.80,38.50,-52.05,-68.28
132.95,0.34,-0.77,9.26,47.83,95.0,22.0,18.45,37.96,-54.56,-70.88
132.99,0.34,-1.70,9.32,47.83,95.0,22.0,18.56,38.50,-60.84,-77.37
133.03,0.48,-1.19,9.29,47.83,95.0,22.0,18.68,38.50,-64.61,-74.77
133.07,0.27,-0.18,9.18,47.83,95.0,22.0,18.45,38.50,-59.59,-73.47
133.11,0.33,-0.40,9.13,47.83,95.0,22.0,18.92,38.23,-47.03,-66.98
133.15,0.41,0.26,9.03,47.83,95.0,22.0,18.56,38.50,-39.49,-61.79
133.19,0.27,0.44,9.06,47.83,95.0,22.0,18.56,38.23,-21.91,-51.40
